grid,boundary,pivotal_rows
ending50_placebo,1050,80116
ending50_placebo,1150,87366
ending50_placebo,1250,97137
ending50_placebo,1350,102832
ending50_placebo,1450,105758
ending50_placebo,1550,105344
ending50_placebo,1650,99294
ending50_placebo,1750,88369
ending50_placebo,1850,75064
ending50_placebo,1950,55863
ending50_placebo,2050,36837
ending50_placebo,2150,20898
ending50_placebo,2250,10598
ending50_placebo,2350,4868
ending50_placebo,2450,2131
ending50_placebo,2550,806
round100,1000,73883
round100,1100,84471
round100,1200,92392
round100,1300,100297
round100,1400,105814
round100,1500,105611
round100,1600,103215
round100,1700,93817
round100,1800,82646
round100,1900,65755
round100,2000,45833
round100,2100,28890
round100,2200,15493
round100,2300,7285
round100,2400,3504
round100,2500,1332
round100,2600,505
shift37_placebo,1037,78623
shift37_placebo,1137,86844
shift37_placebo,1237,95830
shift37_placebo,1337,102841
shift37_placebo,1437,106264
shift37_placebo,1537,105496
shift37_placebo,1637,100182
shift37_placebo,1737,90318
shift37_placebo,1837,77391
shift37_placebo,1937,58759
shift37_placebo,2037,38783
shift37_placebo,2137,22524
shift37_placebo,2237,11682
shift37_placebo,2337,5395
shift37_placebo,2437,2458
shift37_placebo,2537,944
