sample,arm,diagnostic,quantile,value,rows
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.0,0.001,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.01,0.012756284064833616,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.05,0.017053765482268095,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.1,0.019765521566146988,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.25,0.025052267904843578,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.5,0.03200503578012202,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.75,0.04114271241662604,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.9,0.0575367459801316,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.95,0.07103637231439264,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,0.99,0.111155612747382,70517
first_pair_arm_eligible,mercy,crossfit_treatment_propensity_quantile,1.0,0.9386405716301837,70517
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.0,0.001,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.01,0.01069458446139173,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.05,0.0140637283693537,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.1,0.01625511454426232,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.25,0.020741517476742907,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.5,0.02694483329649614,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.75,0.03422484270405589,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.9,0.04428290725632324,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.95,0.05428947748045809,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,0.99,0.08094482407421597,2301928
first_pair_arm_eligible,claimed,crossfit_treatment_propensity_quantile,1.0,0.997009175523892,2301928
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.0,0.001,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.01,0.012756284064833616,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.05,0.016912565816158805,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.1,0.01962389213395534,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.25,0.024818688692892082,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.5,0.031713486377265704,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.75,0.040259082981323406,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.9,0.05497553977086116,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.95,0.06796574099918928,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,0.99,0.1059966935916382,30051
headline_conditional_choice,mercy,crossfit_treatment_propensity_quantile,1.0,0.9386405716301837,30051
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.0,0.001,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.01,0.010748614413668109,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.05,0.01406479667817871,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.1,0.016195389604054974,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.25,0.020604603870338294,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.5,0.02678002675828874,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.75,0.034036676331963014,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.9,0.0433499194365316,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.95,0.052735880675357845,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,0.99,0.07827581218346726,999507
headline_conditional_choice,claimed,crossfit_treatment_propensity_quantile,1.0,0.9930255006787135,999507
