experience_decile,opportunities,recipients,kind_draws,kind_rate_pct,prior_games_mean,prior_games_median
1,34524,20087,1074,3.110879388251651,106.5009848221527,36.0
2,34522,15273,1020,2.954637622385725,467.035137014078,228.0
3,34518,13082,999,2.8941421866852077,1018.1548177762327,561.0
4,34517,11545,980,2.8391806935712838,1774.064171277921,1058.0
5,34514,10018,984,2.8510169786173725,2790.413223619401,1776.0
6,34511,8553,905,2.622352293471647,4104.180956796384,2761.0
7,34510,7130,938,2.718052738336714,5802.838162851347,4192.0
8,34508,5641,884,2.5617248174336384,8266.7379158456,6256.0
9,34507,4234,875,2.535717390674356,12266.357666560409,9755.0
10,34507,2525,923,2.6748196018199204,26919.026777175644,21465.0
