absorption_iterations,absorption_last_adjustment,absorption_maximum_iterations,absorption_tolerance,analysis_role,causal_claim,cluster,cluster_correction,clusters,coefficient,effect_percentage_points,epistemic_label,exposure_means,fixed_effects,matrix_rank,model,numeric_controls,outcome_mean,p_value_two_sided,rows,sample_specification_sha256,smallest_singular_value,standard_error,standard_error_percentage_points,t_cluster,term
1535,9.962173740426758e-10,2000,1e-09,primary,False,chooser,1.0000658172558743,127111,0.0051680383201133905,0.5168038320113391,S,"{""low_deciles_1_2_minus_high_deciles_9_10"":0.5001158916413154}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",9,C12_primary_recipient_experience_extremes,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.028190641749963784,0.0337099253321854,138060,f2fbb875232576a7b4dea552d1f75dc48c2a8b0e5bffd905244a177f500eed71,13.053861064571631,0.002433707893921197,0.24337078939211967,2.1235244924100702,low_deciles_1_2_minus_high_deciles_9_10
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,0.0021610225255753205,0.21610225255753204,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.3685663778184316,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.002403373948141247,0.2403373948141247,0.8991619998405328,experience_decile_2_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,0.0008502535443725073,0.08502535443725073,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.7166784062971856,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0023429315021434695,0.23429315021434696,0.3629015801762189,experience_decile_3_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,-0.0012637903777380718,-0.12637903777380718,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.612832899373211,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0024974424580755036,0.24974424580755036,-0.5060338321916462,experience_decile_4_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,0.0006388143530330988,0.06388143530330988,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.7871392478116609,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0023657398452713472,0.2365739845271347,0.27002730427437494,experience_decile_5_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,-0.003264234228083819,-0.32642342280838194,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.17089311987883693,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0023838016782715466,0.23838016782715465,-1.3693396803255289,experience_decile_6_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,-0.0035408454784271936,-0.35408454784271937,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.13676136074546394,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.002379663927904011,0.2379663927904011,-1.4879603110788597,experience_decile_7_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,0.0007644843583984693,0.07644843583984692,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.7543999507729824,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0024436678402088617,0.24436678402088619,0.31284299192361936,experience_decile_8_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,-0.001930498840250975,-0.1930498840250975,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.413617979018066,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.002361341217657595,0.23613412176575949,-0.81754336299012,experience_decile_9_vs_1
714,9.773630995543814e-10,2000,1e-09,planned_sensitivity,False,chooser,1.000052739579504,287260,-0.0006413249703899136,-0.06413249703899136,S,"{""experience_decile_10_vs_1"":0.09998029773597807,""experience_decile_2_vs_1"":0.10002375861249703,""experience_decile_3_vs_1"":0.10001216904542531,""experience_decile_4_vs_1"":0.10000927165365738,""experience_decile_5_vs_1"":0.10000057947835359,""experience_decile_6_vs_1"":0.0999918873030498,""experience_decile_7_vs_1"":0.09998898991128187,""experience_decile_8_vs_1"":0.099983195127746,""experience_decile_9_vs_1"":0.09998029773597807}","[""chooser"",""recipient_band_x_speed"",""eval_bin"",""month"",""hour_of_week"",""tournament""]",18,C12_full_recipient_experience_decile_profile,"[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",0.027762807920310138,0.7855391265393451,345138,12f57ec75c548afa8bb2d49d260eba3a88dd580aa5917f7ed3abe0c1626f8126,0.9983965537007522,0.0023568782407256276,0.23568782407256275,-0.2721078073988517,experience_decile_10_vs_1
