experience_decile,opportunities,recipient_rating_band,recipients,speed_code
1,1,0,1,0
2,1,0,1,0
3,1,0,1,0
4,1,0,1,0
5,1,0,1,0
6,1,0,1,0
7,1,0,1,0
1,1972,0,1661,1
2,1972,0,1284,1
3,1972,0,1107,1
4,1971,0,896,1
5,1971,0,790,1
6,1971,0,679,1
7,1971,0,511,1
8,1971,0,411,1
9,1971,0,337,1
10,1971,0,254,1
1,12146,0,7965,2
2,12146,0,5896,2
3,12146,0,4805,2
4,12146,0,4083,2
5,12146,0,3456,2
6,12146,0,2790,2
7,12146,0,2321,2
8,12145,0,1753,2
9,12145,0,1352,2
10,12145,0,936,2
1,7324,0,5732,3
2,7324,0,4803,3
3,7324,0,4291,3
4,7324,0,3763,3
5,7323,0,3246,3
6,7323,0,2687,3
7,7323,0,2209,3
8,7323,0,1658,3
9,7323,0,1180,3
10,7323,0,700,3
1,397,0,383,4
2,397,0,364,4
3,397,0,349,4
4,397,0,307,4
5,397,0,293,4
6,397,0,255,4
7,397,0,254,4
8,397,0,209,4
9,396,0,198,4
10,396,0,170,4
1,1,1,1,0
2,1,1,1,0
1,1043,1,638,1
2,1043,1,503,1
3,1043,1,418,1
4,1043,1,423,1
5,1042,1,372,1
6,1042,1,339,1
7,1042,1,290,1
8,1042,1,267,1
9,1042,1,182,1
10,1042,1,139,1
1,6266,1,2861,2
2,6266,1,2024,2
3,6266,1,1720,2
4,6266,1,1568,2
5,6266,1,1307,2
6,6266,1,1139,2
7,6265,1,998,2
8,6265,1,874,2
9,6265,1,672,2
10,6265,1,481,2
1,2776,1,1788,3
2,2776,1,1258,3
3,2776,1,1054,3
4,2776,1,953,3
5,2776,1,785,3
6,2776,1,712,3
7,2776,1,589,3
8,2776,1,492,3
9,2776,1,378,3
10,2776,1,336,3
1,167,1,145,4
2,167,1,125,4
3,166,1,114,4
4,166,1,97,4
5,166,1,79,4
6,166,1,86,4
7,166,1,76,4
8,166,1,62,4
9,166,1,36,4
10,166,1,66,4
1,390,2,275,1
2,390,2,205,1
3,390,2,176,1
4,390,2,171,1
5,390,2,156,1
6,389,2,122,1
7,389,2,76,1
8,389,2,76,1
9,389,2,95,1
10,389,2,92,1
1,1515,2,756,2
2,1515,2,529,2
3,1515,2,456,2
4,1515,2,393,2
5,1515,2,366,2
6,1514,2,319,2
7,1514,2,265,2
8,1514,2,214,2
9,1514,2,176,2
10,1514,2,145,2
1,406,2,306,3
2,406,2,236,3
3,405,2,196,3
4,405,2,185,3
5,405,2,167,3
6,405,2,141,3
7,405,2,137,3
8,405,2,138,3
9,405,2,104,3
10,405,2,95,3
1,18,2,16,4
2,17,2,15,4
3,17,2,14,4
4,17,2,12,4
5,17,2,13,4
6,17,2,12,4
7,17,2,6,4
8,17,2,8,4
9,17,2,12,4
10,17,2,16,4
1,35,3,30,1
2,35,3,28,1
3,34,3,26,1
4,34,3,24,1
5,34,3,19,1
6,34,3,18,1
7,34,3,21,1
8,34,3,17,1
9,34,3,17,1
10,34,3,14,1
1,54,3,42,2
2,54,3,36,2
3,54,3,18,2
4,54,3,27,2
5,54,3,22,2
6,53,3,20,2
7,53,3,27,2
8,53,3,20,2
9,53,3,18,2
10,53,3,23,2
1,12,3,11,3
2,12,3,9,3
3,12,3,11,3
4,12,3,9,3
5,11,3,5,3
6,11,3,3,3
7,11,3,1,3
8,11,3,1,3
9,11,3,2,3
10,11,3,2,3
1,1,3,1,4
