model,epistemic_label,analysis_role,requested_rows,requested_chooser_clusters,strict_absorption_tolerance,strict_absorption_maximum_iterations,extended_absorption_tolerance,extended_absorption_maximum_iterations,strict_error,extended_error,strict_status,extended_status,final_status,numerical_estimate_emitted,ambient_definition,support_denominator,heterogeneity_dimension,heterogeneity_value
C13_primary_cell_28d,X,primary,17101141,2656510,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,cell_other_n28,,
C13_sensitivity_cell_14d,X,planned_sensitivity,16533936,2587577,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_14,cell_other_n14,,
C13_sensitivity_cell_56d,X,planned_sensitivity,17192224,2665218,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_56,cell_other_n56,,
C13_sensitivity_cell_28d_washout7,X,planned_sensitivity,16934163,2640668,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28_washout7,cell_other_n28_washout7,,
C13_sensitivity_speed_14d,X,planned_sensitivity,17266455,2677665,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_speed_14,speed_other_n14,,
C13_sensitivity_speed_28d,X,planned_sensitivity,17294093,2682059,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_speed_28,speed_other_n28,,
C13_sensitivity_speed_56d,X,planned_sensitivity,17294093,2682059,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_speed_56,speed_other_n56,,
C13_exploratory_quadratic_primary_ambient_rate,X,exploratory_nonlinearity,17101141,2656510,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,,
C13_exploratory_primary_by_chooser_rating_band_0,X,exploratory_heterogeneity,10998686,1988272,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,chooser_rating_band,0
C13_exploratory_primary_by_chooser_rating_band_1,X,exploratory_heterogeneity,4962536,821334,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,chooser_rating_band,1
C13_exploratory_primary_by_chooser_rating_band_2,X,exploratory_heterogeneity,1139919,244698,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,chooser_rating_band,2
C13_exploratory_primary_by_chooser_rating_band_3,X,exploratory_heterogeneity,0,0,1e-09,2000,1e-07,25000,"RuntimeError: C13_exploratory_primary_by_chooser_rating_band_3: fewer than 1,000 rows",,FAILED_RETAINED,NOT_APPLICABLE,UNESTIMABLE_RETAINED,False,ambient_cell_28,,chooser_rating_band,3
C13_exploratory_primary_by_speed_code_0,X,exploratory_heterogeneity,0,0,1e-09,2000,1e-07,25000,"RuntimeError: C13_exploratory_primary_by_speed_code_0: fewer than 1,000 rows",,FAILED_RETAINED,NOT_APPLICABLE,UNESTIMABLE_RETAINED,False,ambient_cell_28,,speed_code,0
C13_exploratory_primary_by_speed_code_1,X,exploratory_heterogeneity,1734797,505734,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,speed_code,1
C13_exploratory_primary_by_speed_code_2,X,exploratory_heterogeneity,9887434,1612499,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,speed_code,2
C13_exploratory_primary_by_speed_code_3,X,exploratory_heterogeneity,5285524,1228111,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,speed_code,3
C13_exploratory_primary_by_speed_code_4,X,exploratory_heterogeneity,193386,77002,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,speed_code,4
C13_exploratory_primary_by_speed_code_5,X,exploratory_heterogeneity,0,0,1e-09,2000,1e-07,25000,"RuntimeError: C13_exploratory_primary_by_speed_code_5: fewer than 1,000 rows",,FAILED_RETAINED,NOT_APPLICABLE,UNESTIMABLE_RETAINED,False,ambient_cell_28,,speed_code,5
C13_primary_adjusted_ambient_quartiles,X,planned_sensitivity,17101141,2656510,1e-09,2000,1e-07,25000,,,ESTIMATED,NOT_NEEDED,ESTIMATED_STRICT,True,ambient_cell_28,,,
