model,epistemic_label,analysis_role,ambient_exposure_unit,fixed_effects,cluster,causal_claim,rows,clusters,outcome_mean,exposure_means,numeric_controls,matrix_rank,smallest_singular_value,absorption_iterations,absorption_tolerance,absorption_maximum_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,term,coefficient,standard_error,t_cluster,p_value_two_sided,focal_effect_percentage_points,focal_standard_error_percentage_points,ambient_definition,support_denominator,heterogeneity_or_nonlinearity,heterogeneity_dimension,heterogeneity_value
C13_primary_cell_28d,X,primary,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17101141,2656510,0.02809303776864947,"{""ambient_kindness_percentage_points"":2.8100260626862115}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.54052898262692,173,1e-09,2000,9.918441806160675e-10,1.0000009027150627,9fc75a0dd2100b0faa095a172964387dc8dff35ac149c96987cf7e59be1c0990,ambient_kindness_percentage_points,0.0008211525616534293,0.0005333523868869942,1.5396060500380093,0.12365640985825642,0.08211525616534293,0.05333523868869942,ambient_cell_28,cell_other_n28,,,
C13_sensitivity_cell_14d,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,16533936,2587577,0.02801244664307398,"{""ambient_kindness_percentage_points"":2.801285823296027}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.22051483995141,173,1e-09,2000,9.146795299921381e-10,1.0000009307976152,ab4cd8fb0465d3e9a8b9e7653a5f81b93c60315215d12e6e271db8e605db8543,ambient_kindness_percentage_points,7.72204069036636e-05,0.0004770335013698878,0.16187627636614885,0.8714032851182605,0.007722040690366361,0.04770335013698878,ambient_cell_14,cell_other_n14,,,
C13_sensitivity_cell_56d,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17192224,2665218,0.028119340464619353,"{""ambient_kindness_percentage_points"":2.81427251293854}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.552880735819002,171,1e-09,2000,9.835438445320027e-10,1.0000008986969526,09d148d8508213c1f7fe6238be7e1d60e05c186b28f6ae3b9c33696798f7d895,ambient_kindness_percentage_points,0.001467015828953941,0.0006663488191127334,2.2015733905063772,0.027695457277685995,0.1467015828953941,0.06663488191127334,ambient_cell_56,cell_other_n56,,,
C13_sensitivity_cell_28d_washout7,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,16934163,2640668,0.02809143859073519,"{""ambient_kindness_percentage_points"":2.8108567320947873}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.50584169306104,174,1e-09,2000,9.279016200780468e-10,1.0000009101627396,713fc4f220bb7d49e9d67686d06952452dc98cb6d11661211a8eade167aaeb67,ambient_kindness_percentage_points,0.0012717826606979381,0.0005358063840317035,2.373586240478029,0.017616278641776614,0.12717826606979382,0.053580638403170344,ambient_cell_28_washout7,cell_other_n28_washout7,,,
C13_sensitivity_speed_14d,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17266455,2677665,0.028102583883026364,"{""ambient_kindness_percentage_points"":2.8098607937521796}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.586841715297268,179,1e-09,2000,9.714556880459811e-10,1.0000008947022592,db41a53bacc8fd33e4b880476b245096a3f7dceb685e5c0335f51fc1429377c8,ambient_kindness_percentage_points,-0.0004990694259752493,0.0006958652991649139,-0.7171925753075586,0.4732552799095702,-0.04990694259752493,0.06958652991649139,ambient_speed_14,speed_other_n14,,,
C13_sensitivity_speed_28d,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17294093,2682059,0.028112489044669762,"{""ambient_kindness_percentage_points"":2.811680181221544}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.587036979265907,179,1e-09,2000,9.51056316582157e-10,1.0000008932574145,23dc52c1aacb4929ab19d7832823ba3980f2de839e6205e3ce6d1825aa765796,ambient_kindness_percentage_points,0.0014775019470155283,0.0009330942785379524,1.5834433679419808,0.11332044492626596,0.14775019470155282,0.09330942785379524,ambient_speed_28,speed_other_n28,,,
C13_sensitivity_speed_56d,X,planned_sensitivity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17294093,2682059,0.028112489044669762,"{""ambient_kindness_percentage_points"":2.8133221646098105}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,14.587036634082406,179,1e-09,2000,9.51056316582157e-10,1.0000008932574145,37ca7bbdf1fe003b79ea831313065d96f113f4da3e665ae41c95e4f3acbad7b0,ambient_kindness_percentage_points,0.004153275048916611,0.0012341712742016174,3.3652339312494166,0.0007647878808790244,0.4153275048916611,0.12341712742016174,ambient_speed_56,speed_other_n56,,,
C13_exploratory_quadratic_primary_ambient_rate,X,exploratory_nonlinearity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17101141,2656510,0.02809303776864947,"{""ambient_pp_centered_linear"":-2.1926135114226237e-16,""ambient_pp_centered_squared"":0.15948617151778327}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",11,14.540526167446163,173,1e-09,2000,9.91844177923343e-10,1.0000009611907834,793c9aa9573c0b0da24c5cb71bacb518ee2bda0b4a50d398dba7f44aa320f633,ambient_pp_centered_linear,0.0008198940919613057,0.0005331562607215579,1.5378119931512861,0.12409459032749846,0.08198940919613057,0.053315626072155786,ambient_cell_28,,quadratic,,
C13_exploratory_quadratic_primary_ambient_rate,X,exploratory_nonlinearity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,17101141,2656510,0.02809303776864947,"{""ambient_pp_centered_linear"":-2.1926135114226237e-16,""ambient_pp_centered_squared"":0.15948617151778327}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",11,14.540526167446163,173,1e-09,2000,9.91844177923343e-10,1.0000009611907834,793c9aa9573c0b0da24c5cb71bacb518ee2bda0b4a50d398dba7f44aa320f633,ambient_pp_centered_squared,0.0004513101065664365,0.0004727327607361919,0.9546833730406294,0.33973784067396734,0.04513101065664365,0.04727327607361919,ambient_cell_28,,quadratic,,
C13_exploratory_primary_by_chooser_rating_band_0,X,exploratory_heterogeneity,percentage points,"[""chooser"",""speed_x_chooser_rating_band"",""calendar_week"",""eval_bin"",""hour_of_week"",""tournament""]",chooser,False,10998686,1988272,0.030583289676603186,"{""ambient_kindness_percentage_points"":3.0580940237317518}","[""z_draw_payoff"",""z_win_premium"",""z_chooser_clock"",""z_opponent_clock"",""opponent_clock_missing"",""z_chooser_elo"",""z_opponent_elo"",""z_chooser_rd"",""z_opponent_rd""]",10,9.51688981219483,98,1e-09,2000,9.749733856469004e-10,1.0000013212302683,2f84e12f2aa57cc5ae7c82ab65f1722bf39b270391fb2e0b95ba2af1a6055245,ambient_kindness_percentage_points,0.0012812137454681761,0.0010244707915720262,1.2506103209659925,0.21107668323753778,0.1281213745468176,0.10244707915720262,ambient_cell_28,,,chooser_rating_band,0
