speed_code,chooser_rating_band,focal_rows,supported_rows,median_other_n28
0,0,270,0,10.0
0,1,131,0,5.0
0,2,28,0,2.0
0,3,2,0,0.0
1,0,1005779,1000251,37184.0
1,1,537888,532558,18703.0
1,2,207196,201988,7163.5
1,3,22888,0,818.0
2,0,6123324,6114483,235484.0
2,1,3059753,3051212,117487.0
2,2,726799,721739,28146.0
2,3,28583,0,1102.0
3,0,3700416,3690566,140379.0
3,1,1384690,1378766,53435.0
3,2,221445,216192,8665.0
3,3,4481,0,170.0
4,0,198657,193386,7883.0
4,1,96209,0,3806.0
4,2,9435,0,372.0
4,3,156,0,7.0
