model,epistemic_label,sample_definition,horizon_days_each_side,minimum_fair_opportunities_each_side,rows,clusters,outcome_mean,exposure_means,numeric_controls,fixed_effects,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,term,coefficient,standard_error,t_cluster,p_value_two_sided,effect_pp_change_per_1pp_denier_propensity,se_pp_change_per_1pp_denier_propensity,causal_claim,interaction_pp_change_per_1pp_denier_propensity
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,7,1,17501,16332,-0.004139776980128185,"{""denier_pair_excluded_propensity"":0.013543603267186729}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.5229904495190022,7,3.7034169293158803e-10,1.0015492492648805,58a8e0b68e055108976b7b97cbaf6c7fd7f30d6bfb41db17b949b244b1f79eeb,denier_pair_excluded_propensity,0.007601958683906624,0.01937071930473076,0.39244586451934477,0.6947288034108259,0.007601958683906624,0.01937071930473076,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,7,1,17818,16629,-0.0024964085199262066,"{""claim_by_centered_denier_propensity"":-0.07591403183717345}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.6165311399733382,11,4.854513272848731e-10,1.0016342405921452,b4ba8d24438af823a0cc9fba0aead759ebbe7bf7c1742cdab4d507e2ce129f7e,claim_by_centered_denier_propensity,-0.009225980884669032,0.03721182847277608,-0.2479314041614133,0.8041874813255965,,0.03721182847277608,False,-0.009225980884669032
C10_personal_slight_claimed_arm_slope,X,horizon_specific_7d_endpoint_cohort,7,1,20783,19200,-0.003810344579472373,"{""denier_pair_excluded_propensity"":0.013452360801363125}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.5769686032382104,8,7.205056619689551e-11,1.0013048011279173,23391e4fefcc271cc413400967fcc0b16aaa3a1d723359776a20f2566eba9b7c,denier_pair_excluded_propensity,0.0019082080877806883,0.017816529924479105,0.10710324041040656,0.914707076481183,0.0019082080877806883,0.017816529924479105,False,
C10_personal_slight_pooled_interaction,X,horizon_specific_7d_endpoint_cohort,7,1,21156,19546,-0.0013188646455118524,"{""claim_by_centered_denier_propensity"":-0.07368026724519343}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.6827729715249807,10,2.4535987487411255e-10,1.001376550102177,2b508ab4205bd736fce13ffe9297184c914f8a66983528569e33e5e80c471b67,claim_by_centered_denier_propensity,-0.001642498173905683,0.03512203684328986,-0.04676545899756056,0.9627001586251529,,0.03512203684328986,False,-0.001642498173905683
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,14,1,33397,29713,-0.002987101381512864,"{""denier_pair_excluded_propensity"":0.013621842953385869}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.7555221815162769,7,2.2082056360301668e-11,1.0008128256010473,d97c28ddb78c6828e1575fbe0d61c46f4a0e57fc0917be2d5043c12bfe631d44,denier_pair_excluded_propensity,0.00679102178344027,0.0157046005256691,0.4324224466798996,0.6654344067626016,0.00679102178344027,0.0157046005256691,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,14,1,34007,30250,-0.0011981544017540277,"{""claim_by_centered_denier_propensity"":-0.07292675085177881}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.9023976759719915,9,5.35743314273619e-10,1.0008571488154976,def54f936872861bcdbbf0b75c3c57260cc2ac57ced7f892acb333f91e8d2ebd,claim_by_centered_denier_propensity,-0.005051069511043493,0.031024079640576147,-0.16281126046483066,0.8706670420023574,,0.031024079640576147,False,-0.005051069511043493
C10_personal_slight_claimed_arm_slope,X,horizon_specific_14d_endpoint_cohort,14,1,39278,34439,-0.0031606296483046754,"{""denier_pair_excluded_propensity"":0.01377542675287512}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.8201892737540578,7,1.0159330700149373e-10,1.0006914604312342,39d17a600e6e94d1e7729b197115d4f3d8e5814d6d9de480f7ea0e372479986b,denier_pair_excluded_propensity,0.007164264393491506,0.013967197340786146,0.5129350018253743,0.6079967882935078,0.007164264393491506,0.013967197340786146,False,
C10_personal_slight_pooled_interaction,X,horizon_specific_14d_endpoint_cohort,14,1,40002,35067,-0.0011402390732249456,"{""claim_by_centered_denier_propensity"":-0.07255298563559197}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,0.9901286511973415,9,3.180648397687669e-10,1.00072901044742,a1cd938f8891cfdbaba9662ae5400291a94ef6b865568cadd646f7af643e2f7f,claim_by_centered_denier_propensity,-0.015419959548211739,0.028857327609812453,-0.5343516127587795,0.593098289546895,,0.028857327609812453,False,-0.015419959548211739
C10_personal_slight_claimed_arm_slope,X,common_90d_endpoint_cohort,30,1,57112,47858,-0.0038665947898324196,"{""denier_pair_excluded_propensity"":0.013538730799002899}","[""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",27,0.9807784651319529,6,5.13646474506836e-10,1.0004763662563088,a16d32120756bd165e0ad4f67ba5d2af07cb724d7da7e158e2beb418988677b5,denier_pair_excluded_propensity,0.020107483344695688,0.015180520026254684,1.3245582700671539,0.18531770436064524,0.020107483344695688,0.015180520026254684,False,
C10_personal_slight_pooled_interaction,X,common_90d_endpoint_cohort,30,1,58151,48697,-0.0009646886930610407,"{""claim_by_centered_denier_propensity"":-0.07479937900535326}","[""z_claimed_main"",""z_denier_propensity_main"",""z_exposure_eval_cp"",""z_exposure_eval_cp_squared"",""z_exposure_draw_payoff"",""z_exposure_draw_payoff_squared"",""z_exposure_win_premium"",""z_exposure_win_premium_squared"",""z_exposure_chooser_elo"",""z_exposure_chooser_elo_squared"",""z_exposure_recipient_elo"",""z_exposure_recipient_elo_squared"",""z_exposure_chooser_rd"",""z_exposure_chooser_rd_squared"",""z_exposure_recipient_rd"",""z_exposure_recipient_rd_squared"",""z_exposure_chooser_clock_s"",""z_exposure_chooser_clock_s_squared"",""z_exposure_recipient_clock_s"",""z_exposure_recipient_clock_s_squared"",""z_exposure_ply_count"",""z_exposure_ply_count_squared"",""z_exposure_material_advantage"",""z_exposure_material_advantage_squared"",""z_exposure_tc_base_s"",""z_exposure_tc_base_s_squared"",""z_exposure_tc_inc_s"",""z_exposure_tc_inc_s_squared""]","[""exposure_cell"",""exposure_month""]",29,1.1748291767711803,8,3.990049788480021e-10,1.000502290754897,ace6de26d382e0c2d3302f9dd2989f44487e946d63623f84d27d739b1c26c8c6,claim_by_centered_denier_propensity,0.009680997631981068,0.026670829570157522,0.36298074668113484,0.7166192668128673,,0.026670829570157522,False,0.009680997631981068
