analysis,outcome,estimand,state_conditioned,exposure_common_support,standardization,fixed_effects,cluster,rows,clusters,treated_rows,control_rows,coefficient,standard_error,t_value,p_value_raw,weighted_treated_mean,weighted_control_mean,effect_relative_to_control_mean,coefficient_percentage_points,standard_error_percentage_points,matrix_rank,smallest_singular_value,absorption_iterations,absorption_last_adjustment,cluster_correction,sample_specification_sha256,control_count,control_names,epistemic_label,holm_family_member,effect_units
C6,c6_clear_rate_per_1000,C_primary_positive_rated_game_denominator,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2063017,1053353,61205,2001812,-1.7937438637756953,0.3577569729622184,-5.013861362151918,5.334843209911397e-07,31.0491393535079,31.38487554261094,-0.057153129740481104,,,27,13.448738125210584,8,1.3616932736486482e-11,1.0000135524286522,4f22122f5177e0a5c247c36699d0e96d745b464520924c429564815b63775c7c,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",C,True,events_per_1000_rated_games
C6,c6_clear_count,C_mandatory_unnormalized_count,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.1596908420797243,0.021612559178993608,-7.388798372149112,1.4816163777554516e-13,2.504340477836675,2.7056198155484945,-0.059021907350775046,,,27,13.916054715791889,8,1.4809046508785409e-12,1.000012816530355,6371c6f6a91b41db38e1462ec44eceb1a3e0efe81b8cbe2a50e1d245415eaf8f,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,outcome_units_per_recipient
C6,c6_rated_games_90d,denominator_diagnostic,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-2.784313622106669,1.8483721549685401,-1.5063598608225401,0.13197481892917223,279.04449565952217,293.8659051164629,-0.009474775990100685,,,27,13.91605471579215,9,4.156117411136209e-12,1.000012816530355,8676695e1f0d7f113f2faa8d2bded9aae65e3881f3d357081f0ac0fb7434fdac,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,events_per_1000_rated_games
C6,c6_clear_rate_zero_coded_per_1000,S_zero_coded_nonreturner_rate_contribution,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-1.6538210999403669,0.3412164106713112,-4.846839273312293,1.2544397496811529e-06,29.19816507845819,29.564349560210612,-0.055939708620079825,,,27,13.916054715791889,8,1.5274716595770472e-11,1.000012816530355,d98b66225fcae40c47998e8bf3e90a2c4fdc43f1e3d01f064633f65c48b8e98b,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,events_per_1000_rated_games
C6,c6_all_timeout_rate_per_1000,S_all_timeout_rate,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2063017,1053353,61205,2001812,-2.0896259488566638,0.4845552200716318,-4.312461949223773,1.614466737963918e-05,56.18398216884369,55.72840522106796,-0.037496604120777655,,,27,13.448738125210584,8,1.9852546003057638e-11,1.0000135524286522,52beb47297bbcf705df2877a246e501045d24e1df53e94eb1ce3650c31bec3f7,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,events_per_1000_rated_games
C6,c6_all_timeout_count,S_all_timeout_count,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.1661191138069662,0.03443838895567013,-4.8236610028651015,1.4094689323732374e-06,4.756887147576246,4.997821209503212,-0.033238306622713015,,,27,13.916054715791889,8,3.9944188222692575e-12,1.000012816530355,2645c63528c355daaf1b122ff65fe8e85f2f1abe227f231d112fa8ecfadc2c1c,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,outcome_units_per_recipient
C6,c6_any_timeout,S_any_timeout,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.005584909757419009,0.001835025029519564,-3.0435060381063135,0.0023383874839482,0.6763309518322194,0.6838452612837127,-0.008166920316059556,-0.558490975741901,0.1835025029519564,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,f142d3e5dc5de8400bd9f300e4111aad3d1dbfe9fc65d182af76535daf86c407,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,outcome_units_per_recipient
C6,c6_any_clear_timeout,S_any_clearly_losing_timeout,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2185073,1089971,65085,2119988,-0.014481603250047926,0.001983474793274411,-7.301127949370626,2.853652113726657e-13,0.5128831528001844,0.5273638331966347,-0.02746036481543903,-1.4481603250047925,0.1983474793274411,27,13.91605471579251,7,6.503013437913505e-11,1.000012816530355,177f4bfd781961cc597d18c50ff68523a4220169accfa8c24ed0e2c1e7e6133d,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,outcome_units_per_recipient
C6,c6_clear_share_of_timeouts,S_clear_share_conditional_any_timeout,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,1501310,863256,44019,1457291,-0.015120517145812754,0.0017855634067063487,-8.468205099310401,2.492032311240372e-17,0.48148913708911184,0.49432126622946554,-0.030588441523358944,,,27,11.314149848555521,8,2.9255963813151293e-12,1.0000184769465523,b4c4bee2d9876c1c0174c71e1f88ee32ed2d3b3b83a27d28aed16fcc00ce20d3,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,outcome_units_per_recipient
C6,c6_clear_rate_no_tournament_per_1000,S_no_tournament_clear_rate,False,n_mercy>=5 and n_claimed>=20,ATT-style exposure-cell weights,exposure cell and exposure month,exposure chooser,2063017,1053353,61205,2001812,-1.7924241075202407,0.3565795562972463,-5.026715850266155,4.989508160305029e-07,30.566711209449412,30.926575572788494,-0.05795740635110436,,,27,13.448738125210584,8,1.3416132840880889e-11,1.0000135524286522,4a0cbc3b41bcf26400f8301dc4beb0cdf2ebffd53e4785c4df1eb9cb2523c86c,26,"[""exposure_eval_cp_z"",""exposure_eval_cp_z2"",""exposure_draw_payoff_z"",""exposure_draw_payoff_z2"",""exposure_win_premium_z"",""exposure_win_premium_z2"",""exposure_chooser_elo_z"",""exposure_chooser_elo_z2"",""exposure_recipient_elo_z"",""exposure_recipient_elo_z2"",""exposure_chooser_rd_z"",""exposure_chooser_rd_z2"",""exposure_recipient_rd_z"",""exposure_recipient_rd_z2"",""exposure_chooser_clock_s_z"",""exposure_chooser_clock_s_z2"",""exposure_recipient_clock_s_z"",""exposure_recipient_clock_s_z2"",""exposure_ply_count_z"",""exposure_ply_count_z2"",""exposure_material_advantage_z"",""exposure_material_advantage_z2"",""exposure_tc_base_s_z"",""exposure_tc_base_s_z2"",""exposure_tc_inc_s_z"",""exposure_tc_inc_s_z2""]",S,False,events_per_1000_rated_games
