month,chooser_fe_coef_pp_vs_first_month
2023-11,0.0
2023-12,-0.033659887206562045
2024-01,-0.0018711537455978493
2024-02,-0.04227419338846902
2024-03,-0.07783314609375183
2024-04,-0.05443870552815764
2024-05,-0.0892779929445283
2024-06,-0.10068962201273852
2024-07,-0.10977559653312728
2024-08,-0.1401931759360323
2024-09,-0.10691198598926066
2024-10,-0.1278443750823481
2024-11,-0.18356935749537268
2024-12,-0.19499511181800894
2025-01,-0.13960577905295835
2025-02,-0.18641928472696215
2025-03,-0.2026989983875768
2025-04,-0.20552144453675203
2025-05,-0.26481727856538495
2025-06,-0.22003363642956741
2025-07,-0.2672884883281003
2025-08,-0.37564427009807816
2025-09,-0.3671383318185616
2025-10,-0.48565990834239003
