rating_band,eval_bin,opportunities,kind_draws,kind_rate_pct
<1600,disconnected_clearly_better,2554473,96307,3.7701318432412476
<1600,disconnected_better,2125505,55551,2.6135436049315337
<1600,roughly_equal,6348468,185470,2.921492240332628
<1600,modestly_worse_excluded,2592691,39238,1.5134082696318227
<1600,clearly_worse,16525411,102539,0.6204928881950349
1600-1999,disconnected_clearly_better,826442,27495,3.3269122334053693
1600-1999,disconnected_better,971729,20462,2.1057311246242523
1600-1999,roughly_equal,3280500,75006,2.28641975308642
1600-1999,modestly_worse_excluded,1250605,10356,0.8280792096625235
1600-1999,clearly_worse,7583054,23081,0.30437604690669484
2000-2399,disconnected_clearly_better,132698,4311,3.248730199400142
2000-2399,disconnected_better,208641,4219,2.022133712932741
2000-2399,roughly_equal,823564,16893,2.051206706461186
2000-2399,modestly_worse_excluded,308600,1803,0.584251458198315
2000-2399,clearly_worse,1843916,4870,0.2641118142041177
2400+,disconnected_clearly_better,3744,146,3.8995726495726495
2400+,disconnected_better,8151,239,2.932155563734511
2400+,roughly_equal,44215,1071,2.4222548908741377
2400+,modestly_worse_excluded,16831,95,0.5644346741132433
2400+,clearly_worse,137782,351,0.2547502576533945
