rating_band,region,price,n,k,rate
1600-1999,clearly_worse,costly,4188951,13248.0,0.00316260562608634
1600-1999,clearly_worse,favorable,3394103,9833.0,0.0028970835593380637
1600-1999,excluded_middle,costly,678979,5197.0,0.007654139524197361
1600-1999,excluded_middle,favorable,571626,5159.0,0.009025131816957242
1600-1999,fair,costly,2586637,55619.0,0.021502437334654997
1600-1999,fair,favorable,2492034,67344.0,0.027023708344268177
2000-2399,clearly_worse,costly,1122258,3099.0,0.0027613971118940566
2000-2399,clearly_worse,favorable,721658,1771.0,0.002454071041961705
2000-2399,excluded_middle,costly,190726,1040.0,0.005452848589075428
2000-2399,excluded_middle,favorable,117874,763.0,0.006473013556848838
2000-2399,fair,costly,661889,12085.0,0.018258348454197004
2000-2399,fair,favorable,503014,13338.0,0.02651616058399965
2400+,clearly_worse,costly,92530,263.0,0.0028423214092726684
2400+,clearly_worse,favorable,45252,88.0,0.0019446654291523026
2400+,excluded_middle,costly,12252,71.0,0.005794972249428665
2400+,excluded_middle,favorable,4579,24.0,0.0052413190652981
2400+,fair,costly,37554,774.0,0.02061032113756191
2400+,fair,favorable,18556,682.0,0.036753610691959475
<1600,clearly_worse,costly,8649555,53132.0,0.006142743759650063
<1600,clearly_worse,favorable,7875856,49407.0,0.006273222872536014
<1600,excluded_middle,costly,1324941,18827.0,0.014209689337110105
<1600,excluded_middle,favorable,1267750,20411.0,0.016100177479787023
<1600,fair,costly,5303229,149214.0,0.028136442910536203
<1600,fair,favorable,5725217,188114.0,0.03285709519831301
