adjustment,field,mercy_mean,claimed_mean,standardized_mean_difference,absolute_standardized_mean_difference,mercy_nonmissing,claimed_nonmissing
unadjusted_first_pair,exposure_eval_cp,399.43039267127074,271.9196421434554,0.09227622314290557,0.09227622314290557,70517,2301928
att_common_support,exposure_eval_cp,398.98075148693346,409.5817685223597,-0.006796299467779561,0.006796299467779561,70447,2299695
unadjusted_first_pair,exposure_draw_payoff,0.02251564455759848,-0.12373644936115163,0.008326816212290223,0.008326816212290223,70517,2301928
att_common_support,exposure_draw_payoff,0.04245376920319467,0.26650442180402956,-0.011832477296771836,0.011832477296771836,70447,2299695
unadjusted_first_pair,exposure_win_premium,16.16600443943959,11.227592752118325,0.15272948986688092,0.15272948986688092,70517,2301928
att_common_support,exposure_win_premium,16.072811270371847,12.372062273056303,0.10900864753044237,0.10900864753044237,70447,2299695
unadjusted_first_pair,exposure_chooser_elo,1313.8108257583278,1373.0072083053858,-0.15573499952131079,0.15573499952131079,70517,2301928
att_common_support,exposure_chooser_elo,1313.6975882578392,1361.3984530004177,-0.125517880937255,0.125517880937255,70447,2299695
unadjusted_first_pair,exposure_recipient_elo,1322.9373200788461,1372.7123693703713,-0.13021046547559254,0.13021046547559254,70517,2301928
att_common_support,exposure_recipient_elo,1322.9356963390917,1369.4028116034647,-0.1215483848970734,0.1215483848970734,70447,2299695
unadjusted_first_pair,exposure_chooser_rd,68.42483443204229,58.17397735439149,0.18474616876449024,0.18474616876449024,70517,2301928
att_common_support,exposure_chooser_rd,68.30344012755565,60.233058430545384,0.13976055806351645,0.13976055806351645,70447,2299695
unadjusted_first_pair,exposure_recipient_rd,115.7956756784101,111.9304516581167,0.03404409359073418,0.03404409359073418,70517,2301928
att_common_support,exposure_recipient_rd,115.68838631515933,115.59754255174023,0.000787203355414132,0.000787203355414132,70447,2299695
unadjusted_first_pair,exposure_chooser_clock_s,396.8226385126991,369.5795919768125,0.04933072700107747,0.04933072700107747,70517,2301928
att_common_support,exposure_chooser_clock_s,396.2971595667665,391.8840298910371,0.007608265267474505,0.007608265267474505,70447,2299695
unadjusted_first_pair,exposure_recipient_clock_s,427.3245883971241,382.1931072561783,0.07959994831797021,0.07959994831797021,70517,2301928
att_common_support,exposure_recipient_clock_s,426.6678637841214,407.2405435679736,0.03253350239038073,0.03253350239038073,70447,2299695
unadjusted_first_pair,exposure_ply_count,22.702454727228893,25.05226531846348,-0.11485142256570488,0.11485142256570488,70517,2301928
att_common_support,exposure_ply_count,22.70492710832257,26.120446176343414,-0.16372535997853735,0.16372535997853735,70447,2299695
unadjusted_first_pair,exposure_material_advantage,-0.725824978374009,-0.2734299248282309,-0.17577659786583782,0.17577659786583782,70517,2301928
att_common_support,exposure_material_advantage,-0.7256377134583446,-0.48735825304317965,-0.08692574710807148,0.08692574710807148,70447,2299695
unadjusted_first_pair,exposure_tc_base_s,483.82014266063504,446.5878494027615,0.06719268742978411,0.06719268742978411,70517,2301928
att_common_support,exposure_tc_base_s,483.33356991781056,476.89059671958023,0.011109078811392841,0.011109078811392841,70447,2299695
unadjusted_first_pair,exposure_tc_inc_s,2.5092814498631535,1.8989720790572078,0.07869542240284497,0.07869542240284497,70517,2301928
att_common_support,exposure_tc_inc_s,2.5017105057702955,2.0597372299173444,0.05436205794528675,0.05436205794528675,70447,2299695
unadjusted_first_pair,recipient_prior_fair_opportunities_90d,0.6130578442077796,0.6207413959081257,-0.0055948538780512735,0.0055948538780512735,70517,2301928
att_common_support,recipient_prior_fair_opportunities_90d,0.6134115008446066,0.6152327261811513,-0.0013269983237346903,0.0013269983237346903,70447,2299695
unadjusted_first_pair,recipient_prior_kind_draws_90d,0.021952153381454117,0.02051410817367007,0.007468693860822845,0.007468693860822845,70517,2301928
att_common_support,recipient_prior_kind_draws_90d,0.02197396624412679,0.020492813925703082,0.007700841982531942,0.007700841982531942,70447,2299695
unadjusted_first_pair,recipient_prior_kind_rate_90d,0.04028342418311195,0.03665429618327935,0.0205803382188983,0.0205803382188983,20893,697437
att_common_support,recipient_prior_kind_rate_90d,0.040298854750191904,0.03706908933820121,0.018263484381550905,0.018263484381550905,20885,697131
unadjusted_first_pair,recipient_prior_rating_change_90d,3.2197865313741443,4.963378771129149,-0.019766354178058894,0.019766354178058894,20893,697437
att_common_support,recipient_prior_rating_change_90d,3.221690208283457,5.0772812341385025,-0.020943831790279536,0.020943831790279536,20885,697131
unadjusted_first_pair,recipient_prior_disconnections_main_sample,1.423982869379015,1.631195675972489,-0.05815481126260529,0.05815481126260529,70517,2301928
att_common_support,recipient_prior_disconnections_main_sample,1.423751188836998,1.6090570302568752,-0.0526007400067355,0.0526007400067355,70447,2299695
unadjusted_first_pair,recipient_prior_mercy_receipts_main_sample,0.011316420154005417,0.010655850226418897,0.006168367774706744,0.006168367774706744,70517,2301928
att_common_support,recipient_prior_mercy_receipts_main_sample,0.011299274631992845,0.010730002453713751,0.005311101321067176,0.005311101321067176,70447,2299695
unadjusted_first_pair,pre_games_30d,87.61629110710892,94.59482572869351,-0.041234582425328625,0.041234582425328625,70517,2301928
att_common_support,pre_games_30d,87.64879980694707,91.37485749528864,-0.022274531419903116,0.022274531419903116,70447,2299695
