exposure_cell_code,eval_band_code,payoff_class_code,rating_gap_band_code,speed_code,mercy_recipients,claimed_recipients,control_att_weight
25,0,0,4,1,258,13354,0.019320053916429533
26,0,0,4,2,964,53442,0.018038247071591632
27,0,0,4,3,892,39104,0.022810965630114567
28,0,0,4,4,83,3627,0.022883926109732562
31,0,0,5,1,35,2149,0.016286644951140065
32,0,0,5,2,162,7915,0.020467466835123183
33,0,0,5,3,192,7725,0.024854368932038837
34,0,0,5,4,25,1338,0.01868460388639761
38,0,0,6,2,23,1222,0.018821603927986905
39,0,0,6,3,31,1641,0.018890920170627667
40,0,0,6,4,14,625,0.0224
44,0,0,7,2,14,440,0.031818181818181815
45,0,0,7,3,16,563,0.028419182948490232
73,0,1,4,1,17,453,0.037527593818984545
74,0,1,4,2,32,1667,0.01919616076784643
75,0,1,4,3,32,1005,0.031840796019900496
76,0,1,4,4,19,262,0.07251908396946564
98,0,2,0,2,20,229,0.08733624454148471
99,0,2,0,3,13,300,0.043333333333333335
103,0,2,1,1,12,384,0.03125
104,0,2,1,2,42,1118,0.03756708407871199
105,0,2,1,3,40,1232,0.032467532467532464
106,0,2,1,4,12,303,0.039603960396039604
109,0,2,2,1,34,1749,0.019439679817038306
110,0,2,2,2,182,5928,0.03070175438596491
111,0,2,2,3,181,6052,0.029907468605419697
112,0,2,2,4,34,781,0.04353393085787452
115,0,2,3,1,321,12747,0.025182395857848906
116,0,2,3,2,1089,49396,0.022046319540043727
117,0,2,3,3,927,35726,0.02594748922353468
118,0,2,3,4,93,3021,0.030784508440913606
169,1,0,4,1,533,21816,0.02443160982764943
170,1,0,4,2,1983,83175,0.023841298467087466
171,1,0,4,3,1673,62185,0.026903594114336255
172,1,0,4,4,157,5664,0.027718926553672318
175,1,0,5,1,66,3251,0.02030144570901261
176,1,0,5,2,285,11595,0.02457956015523933
177,1,0,5,3,326,11661,0.027956435983191835
178,1,0,5,4,63,1887,0.033386327503974564
181,1,0,6,1,10,474,0.02109704641350211
182,1,0,6,2,38,1684,0.022565320665083134
183,1,0,6,3,77,2419,0.031831335262505166
184,1,0,6,4,26,938,0.02771855010660981
188,1,0,7,2,22,703,0.031294452347083924
189,1,0,7,3,39,892,0.043721973094170405
217,1,1,4,1,19,643,0.029548989113530325
218,1,1,4,2,78,2546,0.030636292223095052
219,1,1,4,3,65,1682,0.03864447086801427
220,1,1,4,4,26,456,0.05701754385964912
241,1,2,0,1,5,170,0.029411764705882353
242,1,2,0,2,31,487,0.06365503080082136
243,1,2,0,3,29,614,0.04723127035830619
244,1,2,0,4,5,42,0.11904761904761904
247,1,2,1,1,20,629,0.03179650238473768
248,1,2,1,2,70,1654,0.04232164449818621
249,1,2,1,3,103,2003,0.05142286570144783
250,1,2,1,4,22,532,0.041353383458646614
253,1,2,2,1,86,2701,0.03184005923731951
254,1,2,2,2,320,9457,0.03383736914454901
255,1,2,2,3,362,9661,0.037470241175861715
256,1,2,2,4,57,1406,0.04054054054054054
259,1,2,3,1,643,21041,0.03055938405969298
260,1,2,3,2,2282,78537,0.029056368335943567
261,1,2,3,3,1799,57835,0.031105731823290395
262,1,2,3,4,175,4925,0.03553299492385787
313,2,0,4,1,772,27496,0.02807681117253419
314,2,0,4,2,2917,101143,0.02884035474526166
315,2,0,4,3,2261,73567,0.030733888836027023
316,2,0,4,4,186,6266,0.02968400893712097
319,2,0,5,1,93,3827,0.024301019074993466
320,2,0,5,2,379,13626,0.027814472332305887
321,2,0,5,3,439,13499,0.032520927476109344
322,2,0,5,4,61,2000,0.0305
325,2,0,6,1,22,628,0.03503184713375796
326,2,0,6,2,75,1939,0.038679731820526045
327,2,0,6,3,91,2620,0.034732824427480914
328,2,0,6,4,24,911,0.026344676180021953
331,2,0,7,1,11,181,0.06077348066298342
332,2,0,7,2,55,817,0.06731946144430845
333,2,0,7,3,69,1028,0.06712062256809338
334,2,0,7,4,6,144,0.041666666666666664
361,2,1,4,1,26,867,0.029988465974625143
362,2,1,4,2,97,3175,0.030551181102362206
363,2,1,4,3,75,2036,0.03683693516699411
364,2,1,4,4,29,470,0.06170212765957447
385,2,2,0,1,17,255,0.06666666666666667
386,2,2,0,2,59,733,0.08049113233287858
387,2,2,0,3,53,792,0.06691919191919192
388,2,2,0,4,7,66,0.10606060606060606
391,2,2,1,1,34,812,0.04187192118226601
392,2,2,1,2,126,2239,0.0562751228226887
393,2,2,1,3,150,2551,0.05880047040376323
394,2,2,1,4,34,638,0.05329153605015674
397,2,2,2,1,135,3603,0.03746877601998335
398,2,2,2,2,464,11956,0.038808966209434595
399,2,2,2,3,478,11862,0.040296745911313436
400,2,2,2,4,70,1635,0.04281345565749235
403,2,2,3,1,956,27201,0.03514576669975369
404,2,2,3,2,3339,98246,0.03398611648311382
405,2,2,3,3,2409,70248,0.034292791253843526
406,2,2,3,4,201,5595,0.035924932975871314
457,3,0,4,1,360,14243,0.025275573966158815
458,3,0,4,2,1437,56994,0.02521318033477208
459,3,0,4,3,1091,39903,0.02734130265894795
460,3,0,4,4,98,3102,0.03159252095422308
463,3,0,5,1,43,1865,0.023056300268096516
464,3,0,5,2,187,7094,0.026360304482661405
465,3,0,5,3,208,6778,0.030687518442018294
466,3,0,5,4,39,965,0.04041450777202073
469,3,0,6,1,6,235,0.02553191489361702
470,3,0,6,2,31,885,0.03502824858757062
471,3,0,6,3,40,1219,0.03281378178835111
472,3,0,6,4,13,344,0.0377906976744186
476,3,0,7,2,22,340,0.06470588235294118
477,3,0,7,3,22,380,0.05789473684210526
505,3,1,4,1,16,439,0.03644646924829157
506,3,1,4,2,46,1836,0.02505446623093682
507,3,1,4,3,46,1042,0.044145873320537425
508,3,1,4,4,19,223,0.08520179372197309
530,3,2,0,2,31,324,0.09567901234567901
531,3,2,0,3,40,391,0.10230179028132992
535,3,2,1,1,10,373,0.02680965147453083
536,3,2,1,2,49,1142,0.042907180385288964
537,3,2,1,3,60,1364,0.04398826979472141
538,3,2,1,4,24,294,0.08163265306122448
541,3,2,2,1,74,1831,0.040415073730202075
542,3,2,2,2,222,6827,0.032517943459792004
543,3,2,2,3,244,6487,0.03761368891629413
544,3,2,2,4,42,865,0.048554913294797684
547,3,2,3,1,413,14099,0.029292857649478688
548,3,2,3,2,1676,56247,0.029797144736608175
549,3,2,3,3,1211,38824,0.03119204615701628
550,3,2,3,4,122,2965,0.04114671163575042
601,4,0,4,1,252,10851,0.023223666021564834
602,4,0,4,2,1217,57480,0.02117258176757133
603,4,0,4,3,1072,41900,0.02558472553699284
604,4,0,4,4,91,3066,0.02968036529680365
607,4,0,5,1,34,1301,0.026133743274404306
608,4,0,5,2,140,6877,0.020357714119528865
609,4,0,5,3,172,6914,0.024877061035579982
610,4,0,5,4,21,836,0.025119617224880382
614,4,0,6,2,13,682,0.01906158357771261
615,4,0,6,3,24,1081,0.022201665124884366
616,4,0,6,4,6,316,0.0189873417721519
620,4,0,7,2,8,210,0.0380952380952381
621,4,0,7,3,9,291,0.030927835051546393
649,4,1,4,1,7,347,0.020172910662824207
650,4,1,4,2,47,1885,0.02493368700265252
651,4,1,4,3,33,1093,0.03019213174748399
652,4,1,4,4,11,173,0.06358381502890173
673,4,2,0,1,6,60,0.1
674,4,2,0,2,28,338,0.08284023668639054
675,4,2,0,3,29,358,0.08100558659217877
679,4,2,1,1,6,203,0.029556650246305417
680,4,2,1,2,31,965,0.03212435233160622
681,4,2,1,3,52,1374,0.03784570596797671
682,4,2,1,4,15,341,0.04398826979472141
685,4,2,2,1,36,1354,0.026587887740029542
686,4,2,2,2,234,7048,0.033200908059023836
687,4,2,2,3,257,6963,0.03690937814160563
688,4,2,2,4,22,859,0.025611175785797437
691,4,2,3,1,328,11101,0.029546887667777678
692,4,2,3,2,1549,58136,0.02664441998073483
693,4,2,3,3,1212,41910,0.028919112383679314
694,4,2,3,4,117,2917,0.04010970174837161
