model,epistemic_label,analysis_role,status,term,coefficient_probability_units,coefficient_percentage_points,standard_error_probability_units,standard_error_percentage_points,t_cluster,p_value_two_sided,rows_raw,rows_identifying,chooser_clusters,outcome_mean,price_mean,elasticity_estimate,elasticity_se,elasticity_ci95_low,elasticity_ci95_high,causal_claim
V_certified_stage08_full24_piecewise_reproduction,V,validation,ESTIMATED,price,0.0001533126561233675,0.015331265612336751,6.028314853512208e-06,0.0006028314853512209,25.43209169541712,1.1141545414212056e-142,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,0.0544096003288308,0.0021394072096175814,0.05021643924971501,0.05860276140794659,False
V_certified_stage08_full24_piecewise_reproduction,V,validation,ESTIMATED,positive_draw_payoff,1.5756302027801765e-06,0.00015756302027801765,1.272112652058477e-05,0.0012721126520584768,0.12385932961444576,0.9014266551804361,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,,,,,False
V_certified_stage08_full24_piecewise_reproduction,V,validation,ESTIMATED,negative_draw_payoff,-6.719576971106654e-05,-0.006719576971106654,1.122013116317143e-05,0.001122013116317143,-5.988857771255617,2.113198561164394e-09,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,,,,,False
V_certified_stage08_full24_piecewise_reproduction,V,validation,ESTIMATED,draw_nonnegative,0.004394773075717502,0.4394773075717502,7.457004125518975e-05,0.007457004125518975,58.934834978539655,0.0,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,,,,,False
X_current_temporal_first_half_piecewise_price_bridge,X,historical_cross_window_bridge,ESTIMATED,positive_draw_payoff,4.6697883142167256e-05,0.004669788314216726,1.8554075857998413e-05,0.0018554075857998413,2.5168530892923147,0.01184081900966227,8575710,7977997,1147212,0.028031148441353543,9.764320475394175,,,,,False
X_current_temporal_first_half_piecewise_price_bridge,X,historical_cross_window_bridge,ESTIMATED,negative_draw_payoff,-9.429573301971065e-05,-0.009429573301971065,1.6683240202054457e-05,0.0016683240202054457,-5.652123441110595,1.5847770852417506e-08,8575710,7977997,1147212,0.028031148441353543,9.764320475394175,,,,,False
X_current_temporal_first_half_piecewise_price_bridge,X,historical_cross_window_bridge,ESTIMATED,price,0.00013795596286806332,0.013795596286806332,9.055826617200957e-06,0.0009055826617200956,15.233944806984809,2.1049813691626156e-52,8575710,7977997,1147212,0.028031148441353543,9.764320475394175,0.048055335148098705,0.003154490564129207,0.041872647252834024,0.054238023043363386,False
X_lpm_level_price_chooser_fe_piecewise_reference,X,exploratory_main_or_sensitivity,ESTIMATED,price,0.0001533126561233675,0.015331265612336751,6.028314853512208e-06,0.0006028314853512209,25.43209169541712,1.1141545414212056e-142,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,0.0544096003288308,0.0021394072096175814,0.05021643924971501,0.05860276140794659,False
X_lpm_level_price_chooser_fe_piecewise_reference,X,exploratory_main_or_sensitivity,ESTIMATED,positive_draw_payoff,1.5756302027801765e-06,0.00015756302027801765,1.272112652058477e-05,0.0012721126520584768,0.12385932961444576,0.9014266551804361,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,,,,,False
X_lpm_level_price_chooser_fe_piecewise_reference,X,exploratory_main_or_sensitivity,ESTIMATED,negative_draw_payoff,-6.719576971106654e-05,-0.006719576971106654,1.122013116317143e-05,0.001122013116317143,-5.988857771255617,2.113198561164394e-09,17328130,16444544,1801942,0.028114401265456803,9.977606383043597,,,,,False
