model,dimension,level,label,requested_rows,requested_choosers
X_heterogeneity_rating_band_below_1600_log_price_draw20_fe,rating_band,0,below_1600,11028446,1992362
X_heterogeneity_rating_band_1600_1999_log_price_draw20_fe,rating_band,1,1600_1999,5078671,843381
X_heterogeneity_rating_band_2000_2399_log_price_draw20_fe,rating_band,2,2000_2399,1164903,249587
X_heterogeneity_rating_band_2400_plus_log_price_draw20_fe,rating_band,3,2400_plus,56110,23052
X_heterogeneity_speed_ultrabullet_log_price_draw20_fe,speed,0,ultrabullet,431,388
X_heterogeneity_speed_bullet_log_price_draw20_fe,speed,1,bullet,1773751,518310
X_heterogeneity_speed_blitz_log_price_draw20_fe,speed,2,blitz,9938459,1621504
X_heterogeneity_speed_rapid_log_price_draw20_fe,speed,3,rapid,5311032,1233698
X_heterogeneity_speed_classical_log_price_draw20_fe,speed,4,classical,304457,113668
X_heterogeneity_speed_correspondence_log_price_draw20_fe,speed,5,correspondence,0,0
X_heterogeneity_eval_band_below_0cp_log_price_draw20_fe,eval_band,0,below_0cp,4761748,1615940
X_heterogeneity_eval_band_0_100cp_log_price_draw20_fe,eval_band,1,0_100cp,5734999,1747976
X_heterogeneity_eval_band_101_300cp_log_price_draw20_fe,eval_band,2,101_300cp,3324471,1313822
X_heterogeneity_eval_band_301_600cp_log_price_draw20_fe,eval_band,3,301_600cp,2525959,1138668
X_heterogeneity_eval_band_above_600cp_log_price_draw20_fe,eval_band,4,above_600cp,980953,604849
X_heterogeneity_temporal_half_first12_log_price_draw20_fe,temporal_half,0,first12,8575710,1744924
X_heterogeneity_temporal_half_second12_log_price_draw20_fe,temporal_half,1,second12,8752420,1813427
X_heterogeneity_rating_certainty_either_rd_above_110_log_price_draw20_fe,rating_certainty,0,either_rd_above_110,1629715,1078400
X_heterogeneity_rating_certainty_both_rd_le_110_log_price_draw20_fe,rating_certainty,1,both_rd_le_110,15698415,2310015
X_heterogeneity_activity_quartile_q1_log_price_draw20_fe,activity_quartile,0,q1,671382,671382
X_heterogeneity_activity_quartile_q2_log_price_draw20_fe,activity_quartile,1,q2,1190491,671381
X_heterogeneity_activity_quartile_q3_log_price_draw20_fe,activity_quartile,2,q3,3025315,671381
X_heterogeneity_activity_quartile_q4_log_price_draw20_fe,activity_quartile,3,q4,12440942,671381
X_heterogeneity_lagged_kindness_none_prior_log_price_draw20_fe,lagged_kindness,0,none_prior,15882714,2685525
X_heterogeneity_lagged_kindness_one_prior_log_price_draw20_fe,lagged_kindness,1,one_prior,877830,179375
X_heterogeneity_lagged_kindness_two_plus_prior_log_price_draw20_fe,lagged_kindness,2,two_plus_prior,567586,64573
