price_bin,rows,choosers,kind_draws,price_mean,price_median,price_minimum,price_maximum,raw_kind_rate,raw_kind_rate_pct,adjusted_kind_rate_centered_to_overall_mean,adjusted_kind_rate_pct,bin_effect_relative_to_bin0_probability_units,bin_effect_relative_to_bin0_pp
0,866407,466144,21436,4.896955447734258,5.244624416610298,3.092656860295989,5.524576371297876,0.024741259015682006,2.4741259015682004,0.025017727662359036,2.5017727662359035,0.0,0.0
1,866406,475755,20806,5.598170626137604,5.605241975168303,5.524576712181175,5.641262990169864,0.02401414579308084,2.401414579308084,0.026016609282961126,2.6016609282961127,0.0009988816206020915,0.09988816206020915
2,866407,482318,19867,5.659154186532965,5.660590596117457,5.641263085315739,5.671140162292808,0.02293033181864874,2.293033181864874,0.025739477894497754,2.5739477894497753,0.0007217502321387181,0.07217502321387181
3,866406,463916,17896,5.67500990777863,5.675579623407447,5.671140168957701,5.676640809691607,0.020655443291020606,2.0655443291020608,0.02513307661248793,2.513307661248793,0.0001153489501288936,0.011534895012889361
4,866407,415326,16097,5.676855632565125,5.676861761567281,5.676640810806653,5.677032500046174,0.01857902810111183,1.8579028101111832,0.024964461545067117,2.4964461545067116,-5.326611729191983e-05,-0.005326611729191983
5,866406,432145,17037,5.677201123690675,5.677196619894823,5.677032500107419,5.67738593437464,0.019663991246598015,1.9663991246598016,0.02555184499413781,2.555184499413781,0.0005341173317787759,0.053411733177877584
6,866407,452537,18208,5.677626690093965,5.677614594656925,5.677385934381137,5.677913713153297,0.021015527344538997,2.1015527344539,0.025843339742803485,2.5843339742803484,0.0008256120804444499,0.08256120804444499
7,866406,464680,18994,5.678328706544694,5.678306641925541,5.677913713776086,5.678833105422978,0.021922747534066016,2.192274753406602,0.026138757335708862,2.613875733570886,0.001121029673349825,0.11210296733498251
8,866407,472284,19793,5.679591487813588,5.679549419318506,5.678833105953408,5.680520443108449,0.022844921613052526,2.2844921613052525,0.026348528919382972,2.6348528919382974,0.0013308012570239357,0.13308012570239358
9,866406,479823,20831,5.68190798131163,5.68183063739237,5.680520445877735,5.68361058874989,0.02404300062557277,2.404300062557277,0.026663060651767503,2.6663060651767503,0.001645332989408467,0.1645332989408467
10,866406,488057,21887,5.6862584266808245,5.686076024876182,5.68361059690535,5.689687275646991,0.02526182875003174,2.5261828750031743,0.027095420519459252,2.7095420519459252,0.002077692857100217,0.2077692857100217
11,866407,501158,23501,5.696538791862476,5.695779913027438,5.68968728429203,5.706334755486753,0.027124665428603416,2.7124665428603416,0.02809338941460514,2.809338941460514,0.0030756617522461017,0.30756617522461016
12,866406,512454,23509,5.722538449651989,5.721909309240413,5.706334781158541,5.741404561845713,0.027133930282107928,2.7133930282107928,0.02793959348865781,2.7939593488657812,0.002921865826298775,0.2921865826298775
13,866407,541302,25868,5.768349584511559,5.766355200451647,5.741404617337909,5.803044166308753,0.029856637815714786,2.9856637815714784,0.028570987764520515,2.8570987764520517,0.003553260102161479,0.3553260102161479
14,866406,577800,27618,5.889641597413223,5.877734978585778,5.803044325317677,6.027508611471933,0.03187651055048095,3.1876510550480948,0.028868642448287622,2.8868642448287622,0.003850914785928589,0.3850914785928589
15,866407,600344,29386,6.332489518460976,6.301789016891818,6.027508625095335,6.760398423176053,0.033917085157437556,3.3917085157437556,0.029196162805842342,2.919616280584234,0.004178435143483306,0.4178435143483306
16,866406,620810,31357,7.4964950241996675,7.447563711855393,6.760398648745502,8.433728908001896,0.03619203929797347,3.619203929797347,0.03050699149735729,3.050699149735729,0.005489263834998254,0.5489263834998254
17,866407,649369,32754,10.002262790385478,9.878166122668286,8.43374486831938,12.086752569076538,0.03780440370403286,3.780440370403286,0.03134538619088161,3.1345386190881612,0.0063276585285225746,0.6327658528522575
18,866406,692038,36695,16.427400939416923,15.825069335072008,12.086753989223649,23.359328240003634,0.04235312313164959,4.235312313164959,0.034305164733841896,3.4305164733841895,0.009287437071482857,0.9287437071482857
19,866407,730417,43630,74.62931584172985,45.317500824013194,23.35941709649292,711.3202490883504,0.05035739554274146,5.035739554274146,0.038949398428669346,3.8949398428669344,0.013931670766310309,1.393167076631031
