model,window,donut,status,coefficient_percentage_points,standard_error_percentage_points,ci95_low_pp,ci95_high_pp,mean_scaled_relative_change,t_cluster,p_value_two_sided,rows,chooser_clusters
X_zero_donut_w0p5_d0p1_chooser_fe_level_premium,0.5,0.1,ESTIMATED,0.28260697422314285,0.012072001810591265,0.2589462854530816,0.306267662993204,0.10937320556025541,23.410116951374217,3.3710771690933416e-121,5790522,914163
X_zero_donut_w0p5_d0p25_chooser_fe_level_premium,0.5,0.25,ESTIMATED,0.31081644517380375,0.017217086752119994,0.2770715752209469,0.34456131512666066,0.12010486157217685,18.05278962978635,7.500489593851915e-73,3222025,625593
X_zero_donut_w1_d0p1_chooser_fe_level_premium,1.0,0.1,ESTIMATED,0.3643818861397642,0.009303437494772871,0.3461474837175898,0.3826162885619385,0.13955147409620847,39.166371176728155,0.0,9703216,1234088
X_zero_donut_w1_d0p25_chooser_fe_level_premium,1.0,0.25,ESTIMATED,0.4140580706305452,0.011147414540051847,0.39220953961130545,0.435906601649785,0.15787496839661253,37.143865884135266,5.50687977228543e-302,7134719,1065570
X_zero_donut_w1_d0p5_chooser_fe_level_premium,1.0,0.5,ESTIMATED,0.4714593913172177,0.015992795236312425,0.44011408864192164,0.5028046939925138,0.1778172673655803,29.479486503194014,5.275413744609828e-191,3912694,741952
X_zero_donut_w2_d0p1_chooser_fe_level_premium,2.0,0.1,ESTIMATED,0.45932573116178305,0.008321323075929575,0.44301623762923903,0.47563522469432706,0.17229670634731312,55.19864172687127,0.0,12917778,1461427
X_zero_donut_w2_d0p25_chooser_fe_level_premium,2.0,0.25,ESTIMATED,0.5192991049102562,0.009520078331298856,0.5006400942509103,0.5379581155696022,0.19322752311863295,54.54777648236079,0.0,10349281,1338813
X_zero_donut_w2_d0p5_chooser_fe_level_premium,2.0,0.5,ESTIMATED,0.5981397220708278,0.011938279709014434,0.5747411238037942,0.6215383203378613,0.21889527472812711,50.10267280127308,0.0,7127256,1121952
X_zero_donut_w2_d1_chooser_fe_level_premium,2.0,1.0,ESTIMATED,0.7282838438415365,0.01993897823563153,0.6892041646111707,0.7673635230719024,0.25722282806426827,36.52563512708351,4.346116030374092e-292,3214562,655217
X_zero_donut_w4_d0p1_chooser_fe_level_premium,4.0,0.1,ESTIMATED,0.48706536265818456,0.008142425164654658,0.4711065025886488,0.5030242227277203,0.17884481556719434,59.81821789071884,0.0,14085756,1585626
X_zero_donut_w4_d0p25_chooser_fe_level_premium,4.0,0.25,ESTIMATED,0.5484571811133435,0.009242328665817066,0.53034254979506,0.5665718124316271,0.19903153088927808,59.34188243508621,0.0,11517259,1474077
X_zero_donut_w4_d0p5_chooser_fe_level_premium,4.0,0.5,ESTIMATED,0.6279630003610787,0.011383607369477971,0.6056515399027571,0.6502744608194002,0.22261967474549157,55.16379649958673,0.0,8295234,1278011
X_zero_donut_w4_d1_chooser_fe_level_premium,4.0,1.0,ESTIMATED,0.7548431385689068,0.01761351290852991,0.7203212876269569,0.7893649895108568,0.25398117853250857,42.85591082760951,0.0,4382540,861404
X_zero_donut_w4_d2_chooser_fe_level_premium,4.0,2.0,ESTIMATED,0.82277565174511,0.05108594097888096,0.7226490473101645,0.9229022561800556,0.24492401370525793,16.105715897163318,2.325904176747228e-58,1167978,209746
X_zero_donut_w6_d0p1_chooser_fe_level_premium,6.0,0.1,ESTIMATED,0.49680921804762157,0.008109205895599061,0.4809154665490275,0.5127029695462156,0.1810164009840388,61.2648420133523,0.0,14471898,1633320
X_zero_donut_w6_d0p25_chooser_fe_level_premium,6.0,0.25,ESTIMATED,0.5583861135307512,0.009190201226078503,0.5403736501169615,0.5763985769445409,0.2008361909221624,60.75885606794453,0.0,11903401,1524674
X_zero_donut_w6_d0p5_chooser_fe_level_premium,6.0,0.5,ESTIMATED,0.6411447150793941,0.011282063913493167,0.6190322761376684,0.6632571540211196,0.2248269509517383,56.82867248363975,0.0,8681376,1333540
X_zero_donut_w6_d1_chooser_fe_level_premium,6.0,1.0,ESTIMATED,0.7720774898789164,0.01720821782680648,0.7383500027002556,0.8058049770575773,0.25598398296524144,44.866789672792024,0.0,4768682,927056
X_zero_donut_w6_d2_chooser_fe_level_premium,6.0,2.0,ESTIMATED,0.8801918353464984,0.04368880758678427,0.794563345948901,0.9658203247440957,0.2590077886826788,20.1468495929551,2.8679461113698463e-90,1554120,285276
X_zero_donut_w6_d4_chooser_fe_level_premium,6.0,4.0,ESTIMATED,1.046923723900034,0.130297078248159,0.7915461432428451,1.302301304557223,0.29773252363691777,8.03489792692129,9.36568393931099e-16,386142,46039
