model,dimension,level,label,requested_loss_rows,requested_choosers
X_loss_log_heterogeneity_rating_band_below_1600_chooser_fe_level_premium,rating_band,0,below_1600,5303229,1473598
X_loss_log_heterogeneity_rating_band_1600_1999_chooser_fe_level_premium,rating_band,1,1600_1999,2586637,658906
X_loss_log_heterogeneity_rating_band_2000_2399_chooser_fe_level_premium,rating_band,2,2000_2399,661889,195202
X_loss_log_heterogeneity_rating_band_2400_plus_chooser_fe_level_premium,rating_band,3,2400_plus,37554,17391
X_loss_log_heterogeneity_speed_ultrabullet_chooser_fe_level_premium,speed,0,ultrabullet,251,233
X_loss_log_heterogeneity_speed_bullet_chooser_fe_level_premium,speed,1,bullet,874592,356584
X_loss_log_heterogeneity_speed_blitz_chooser_fe_level_premium,speed,2,blitz,4895276,1225119
X_loss_log_heterogeneity_speed_rapid_chooser_fe_level_premium,speed,3,rapid,2659919,883345
X_loss_log_heterogeneity_speed_classical_chooser_fe_level_premium,speed,4,classical,159271,71395
X_loss_log_heterogeneity_speed_correspondence_chooser_fe_level_premium,speed,5,correspondence,0,0
X_loss_log_heterogeneity_eval_band_below_0cp_chooser_fe_level_premium,eval_band,0,below_0cp,2458385,1150072
X_loss_log_heterogeneity_eval_band_0_100cp_chooser_fe_level_premium,eval_band,1,0_100cp,2874190,1244021
X_loss_log_heterogeneity_eval_band_101_300cp_chooser_fe_level_premium,eval_band,2,101_300cp,1616735,870528
X_loss_log_heterogeneity_eval_band_301_600cp_chooser_fe_level_premium,eval_band,3,301_600cp,1197030,718997
X_loss_log_heterogeneity_eval_band_above_600cp_chooser_fe_level_premium,eval_band,4,above_600cp,442969,333320
X_loss_log_heterogeneity_temporal_half_first12_chooser_fe_level_premium,temporal_half,0,first12,4255067,1326637
X_loss_log_heterogeneity_temporal_half_second12_chooser_fe_level_premium,temporal_half,1,second12,4334242,1371516
X_loss_log_heterogeneity_rating_certainty_either_rd_above_110_chooser_fe_level_premium,rating_certainty,0,either_rd_above_110,830178,631445
X_loss_log_heterogeneity_rating_certainty_both_rd_le_110_chooser_fe_level_premium,rating_certainty,1,both_rd_le_110,7759131,1820605
X_loss_log_heterogeneity_activity_quartile_q1_chooser_fe_level_premium,activity_quartile,0,q1,333951,333951
X_loss_log_heterogeneity_activity_quartile_q2_chooser_fe_level_premium,activity_quartile,1,q2,589394,451155
X_loss_log_heterogeneity_activity_quartile_q3_chooser_fe_level_premium,activity_quartile,2,q3,1495967,620722
X_loss_log_heterogeneity_activity_quartile_q4_chooser_fe_level_premium,activity_quartile,3,q4,6169997,666883
X_loss_log_heterogeneity_lagged_kindness_none_prior_chooser_fe_level_premium,lagged_kindness,0,none_prior,7880378,2031863
X_loss_log_heterogeneity_lagged_kindness_one_prior_chooser_fe_level_premium,lagged_kindness,1,one_prior,431165,130639
X_loss_log_heterogeneity_lagged_kindness_two_plus_prior_chooser_fe_level_premium,lagged_kindness,2,two_plus_prior,277766,55188
