model,window,donut,premium_control,status,coefficient_probability_units,coefficient_percentage_points,standard_error_percentage_points,ci95_low_pp,ci95_high_pp,mean_scaled_relative_change,mean_scaled_ci95_low,mean_scaled_ci95_high,t_cluster,p_value_two_sided,rows,chooser_clusters,outcome_mean
X_zero_crossing_w0p5_chooser_fe_level_premium,0.5,0.0,level,ESTIMATED,0.0023340933286295973,0.23340933286295973,0.009965102336776785,0.2138780911806213,0.25294057454529817,0.09003050970185071,0.08249693072194178,0.09756408868175966,23.42267294150599,2.5110024032241957e-121,8025008,1081003,0.025925581631818934
X_primary_zero_crossing_w0p5_chooser_fe_premium20_fe,0.5,0.0,bin20_fe,ESTIMATED,0.0023378667231355333,0.23378667231355332,0.009965373753841432,0.2142548986635434,0.25331844596356323,0.09017605685136211,0.08264227268119784,0.09770984102152638,23.459900058784424,1.0475437553131757e-121,8025008,1063850,0.025925581631818934
X_zero_crossing_w1_chooser_fe_level_premium,1.0,0.0,level,ESTIMATED,0.003164239130527496,0.3164239130527496,0.00824334945493695,0.3002672450090953,0.3325805810964039,0.12115007006884808,0.11496412335362137,0.1273360167840748,38.385357163676105,2.3e-322,11937702,1342525,0.026118343379655483
X_zero_crossing_w1_chooser_fe_premium20_fe,1.0,0.0,bin20_fe,ESTIMATED,0.0031679379547459273,0.31679379547459274,0.008243475698344549,0.3006368799984062,0.3329507109507792,0.1212916879411865,0.11510564649080428,0.12747772939156873,38.42963903420145,4.4e-323,11937702,1322073,0.026118343379655483
X_zero_crossing_w2_chooser_fe_level_premium,2.0,0.0,level,ESTIMATED,0.004085116329859592,0.40851163298595916,0.007551125101691789,0.3937116997438869,0.4233115662280314,0.1536681523225547,0.1481009218885451,0.15923538275656432,54.09943915436315,0.0,15152264,1543402,0.026584014111686545
X_zero_crossing_w2_chooser_fe_premium20_fe,2.0,0.0,bin20_fe,ESTIMATED,0.004085775318348255,0.4085775318348255,0.007550663777510103,0.3937785027715345,0.4233765608981165,0.15369294122335406,0.14812605091058326,0.15925983153612483,54.11147203399347,0.0,15152264,1517674,0.026584014111686545
X_zero_crossing_w4_chooser_fe_level_premium,4.0,0.0,level,ESTIMATED,0.004351584141996223,0.4351584141996223,0.007421876005620386,0.42061180453088437,0.4497050238683603,0.16066026522414223,0.15528966433207392,0.1660308661162105,58.63186260051887,0.0,16320242,1660819,0.027085627774392072
X_zero_crossing_w4_chooser_fe_premium20_fe,4.0,0.0,bin20_fe,ESTIMATED,0.004352815156813216,0.4352815156813216,0.007421243947022181,0.42073614482467225,0.44982688653797104,0.16070571422858276,0.15533557070530757,0.16607585775185793,58.65344392242772,0.0,16320242,1628159,0.027085627774392072
X_zero_crossing_w6_chooser_fe_level_premium,6.0,0.0,level,ESTIMATED,0.004446190283117217,0.44461902831172173,0.007399276798252664,0.4301167122755037,0.4591213443479398,0.1630293581232358,0.1577117645787973,0.16834695166767433,60.08952502178568,0.0,16706384,1706584,0.02727232894922085
X_zero_crossing_w6_chooser_fe_premium20_fe,6.0,0.0,bin20_fe,ESTIMATED,0.004448422436941617,0.4448422436941617,0.007398682723126069,0.43034109202379583,0.45934339536452756,0.1631112049588528,0.15779403835479563,0.16842837156291,60.124519504494764,0.0,16706384,1670420,0.02727232894922085
