model,status,error,runtime_seconds
V_certified_stage08_full24_piecewise_reproduction_v103,ESTIMATED,,6.7412309646606445
X_primary_reference_piecewise_chooser_fe_premium20_fe,ESTIMATED,,8.587488174438477
X_reference_piecewise_chooser_fe_level_premium,ESTIMATED,,5.726213216781616
X_reference_piecewise_chooser_fe_log_premium,ESTIMATED,,5.914073705673218
X_reference_piecewise_chooser_fe_log_cubic_premium,ESTIMATED,,9.406363248825073
X_reference_piecewise_chooser_fe_premium20_fe_adjusted,ESTIMATED,,74.51094102859497
X_reference_piecewise_abs_le_0p5_chooser_fe_level_premium,ESTIMATED,,2.3707921504974365
X_reference_piecewise_abs_le_0p5_chooser_fe_premium20_fe,ESTIMATED,,3.2460529804229736
X_reference_piecewise_abs_le_1_chooser_fe_level_premium,ESTIMATED,,3.1221868991851807
X_reference_piecewise_abs_le_1_chooser_fe_premium20_fe,ESTIMATED,,4.804228782653809
X_reference_piecewise_abs_le_2_chooser_fe_level_premium,ESTIMATED,,3.9736602306365967
X_reference_piecewise_abs_le_2_chooser_fe_premium20_fe,ESTIMATED,,5.9432151317596436
X_reference_piecewise_abs_le_4_chooser_fe_level_premium,ESTIMATED,,4.334120988845825
X_reference_piecewise_abs_le_4_chooser_fe_premium20_fe,ESTIMATED,,6.559100151062012
X_reference_piecewise_abs_le_6_chooser_fe_level_premium,ESTIMATED,,4.403602123260498
X_reference_piecewise_abs_le_6_chooser_fe_premium20_fe,ESTIMATED,,6.458156108856201
X_zero_crossing_w0p5_chooser_fe_level_premium,ESTIMATED,,1.4555819034576416
X_primary_zero_crossing_w0p5_chooser_fe_premium20_fe,ESTIMATED,,1.9910237789154053
X_zero_donut_w0p5_d0p1_chooser_fe_level_premium,ESTIMATED,,1.072638988494873
X_zero_donut_w0p5_d0p25_chooser_fe_level_premium,ESTIMATED,,0.5808987617492676
X_zero_crossing_w1_chooser_fe_level_premium,ESTIMATED,,2.2155098915100098
X_zero_crossing_w1_chooser_fe_premium20_fe,ESTIMATED,,2.8871588706970215
X_zero_donut_w1_d0p1_chooser_fe_level_premium,ESTIMATED,,1.7411608695983887
X_zero_donut_w1_d0p25_chooser_fe_level_premium,ESTIMATED,,1.3136630058288574
X_zero_donut_w1_d0p5_chooser_fe_level_premium,ESTIMATED,,0.726524829864502
X_zero_crossing_w2_chooser_fe_level_premium,ESTIMATED,,2.7676169872283936
X_zero_crossing_w2_chooser_fe_premium20_fe,ESTIMATED,,3.689995050430298
X_zero_donut_w2_d0p1_chooser_fe_level_premium,ESTIMATED,,2.235159158706665
X_zero_donut_w2_d0p25_chooser_fe_level_premium,ESTIMATED,,1.786133050918579
X_zero_donut_w2_d0p5_chooser_fe_level_premium,ESTIMATED,,1.3109407424926758
X_zero_donut_w2_d1_chooser_fe_level_premium,ESTIMATED,,0.5796260833740234
X_zero_crossing_w4_chooser_fe_level_premium,ESTIMATED,,2.9500248432159424
X_zero_crossing_w4_chooser_fe_premium20_fe,ESTIMATED,,4.022979974746704
X_zero_donut_w4_d0p1_chooser_fe_level_premium,ESTIMATED,,2.445297956466675
X_zero_donut_w4_d0p25_chooser_fe_level_premium,ESTIMATED,,2.02124285697937
X_zero_donut_w4_d0p5_chooser_fe_level_premium,ESTIMATED,,1.4477720260620117
X_zero_donut_w4_d1_chooser_fe_level_premium,ESTIMATED,,0.7608649730682373
X_zero_donut_w4_d2_chooser_fe_level_premium,ESTIMATED,,0.22150492668151855
X_zero_crossing_w6_chooser_fe_level_premium,ESTIMATED,,2.966841220855713
X_zero_crossing_w6_chooser_fe_premium20_fe,ESTIMATED,,4.0313427448272705
X_zero_donut_w6_d0p1_chooser_fe_level_premium,ESTIMATED,,2.5737380981445312
X_zero_donut_w6_d0p25_chooser_fe_level_premium,ESTIMATED,,2.070488929748535
X_zero_donut_w6_d0p5_chooser_fe_level_premium,ESTIMATED,,1.547300100326538
X_zero_donut_w6_d1_chooser_fe_level_premium,ESTIMATED,,0.8219277858734131
X_zero_donut_w6_d2_chooser_fe_level_premium,ESTIMATED,,0.28771471977233887
X_zero_donut_w6_d4_chooser_fe_level_premium,ESTIMATED,,0.07448911666870117
X_local_order1_reference_w0p25_chooser_fe_level_premium,ESTIMATED,,1.1594550609588623
X_local_order2_reference_w0p25_chooser_fe_level_premium,ESTIMATED,,1.4965941905975342
X_local_order1_reference_w0p5_chooser_fe_level_premium,ESTIMATED,,1.9657373428344727
X_local_order2_reference_w0p5_chooser_fe_level_premium,ESTIMATED,,2.5236940383911133
X_local_order1_reference_w1_chooser_fe_level_premium,ESTIMATED,,2.997542142868042
X_local_order2_reference_w1_chooser_fe_level_premium,ESTIMATED,,4.114469051361084
X_local_order1_reference_w2_chooser_fe_level_premium,ESTIMATED,,3.8581860065460205
X_local_order2_reference_w2_chooser_fe_level_premium,ESTIMATED,,5.159677982330322
X_local_order1_reference_w4_chooser_fe_level_premium,ESTIMATED,,4.047772169113159
X_local_order2_reference_w4_chooser_fe_level_premium,ESTIMATED,,5.613623142242432
X_placebo_cutoff_m6_w0p5_chooser_fe_level_premium,ESTIMATED,,0.042407989501953125
X_placebo_cutoff_m4_w0p5_chooser_fe_level_premium,ESTIMATED,,0.027409076690673828
X_placebo_cutoff_m2_w0p5_chooser_fe_level_premium,ESTIMATED,,0.17076992988586426
X_placebo_cutoff_m1_w0p5_chooser_fe_level_premium,ESTIMATED,,0.5505099296569824
X_placebo_cutoff_0_w0p5_chooser_fe_level_premium,ESTIMATED,,1.424048900604248
X_placebo_cutoff_1_w0p5_chooser_fe_level_premium,ESTIMATED,,0.5366671085357666
X_placebo_cutoff_2_w0p5_chooser_fe_level_premium,ESTIMATED,,0.15290188789367676
X_placebo_cutoff_4_w0p5_chooser_fe_level_premium,ESTIMATED,,0.030204296112060547
X_placebo_cutoff_6_w0p5_chooser_fe_level_premium,ESTIMATED,,0.014817953109741211
X_primary_loss_log_elasticity_chooser_fe_premium20_fe,ESTIMATED,,2.4212348461151123
X_loss_log_elasticity_chooser_fe_level_premium,ESTIMATED,,1.7178223133087158
X_loss_log_elasticity_chooser_fe_log_premium,ESTIMATED,,2.171221971511841
X_loss_log_elasticity_chooser_fe_log_cubic_premium,ESTIMATED,,2.4146039485931396
X_loss_log_elasticity_chooser_fe_premium20_fe_adjusted,ESTIMATED,,16.27642321586609
X_loss_level_slope_chooser_fe_premium20_fe,ESTIMATED,,2.4862747192382812
X_loss_log_elasticity_trim_p005_p995_premium20_fe,ESTIMATED,,2.437397003173828
X_loss_log_elasticity_trim_p01_p99_premium20_fe,ESTIMATED,,2.3347487449645996
X_loss_log_elasticity_winsor_p005_p995_premium20_fe,ESTIMATED,,2.495205879211426
X_loss_log_elasticity_winsor_p01_p99_premium20_fe,ESTIMATED,,2.50946307182312
X_gain_log_response_chooser_fe_premium20_fe,ESTIMATED,,2.340049982070923
X_gain_log_response_chooser_fe_level_premium,ESTIMATED,,1.7764739990234375
