density_bin,lower_bound,upper_bound,rows,row_share,choosers,draw_payoff_mean,draw_payoff_minimum,draw_payoff_maximum,outcome_blind
0,,-1.0,2743393,0.1583201995829902,1408454,-5.765796429411072,-708.9015248073855,-1.0000001032707329,True
1,-1.0,-0.5,1956736,0.11292251385463982,941074,-0.7199293999341689,-0.9999993114169088,-0.5000000144103607,True
2,-0.5,-0.25,1610285,0.09292895424953529,811437,-0.3663509050356038,-0.4999999896663539,-0.2500002823946183,True
3,-0.25,-0.1,1283478,0.0740690426491491,695636,-0.17443367143581429,-0.249999800778226,-0.10000002874458032,True
4,-0.1,-0.05,494229,0.028521773555484638,360221,-0.07900261191684217,-0.09999994359478596,-0.05000005551667611,True
5,-0.05,-0.025,324294,0.01871488729597481,253667,-0.03981289047803411,-0.049999895564089854,-0.025000582191477137,True
6,-0.025,-0.01,175762,0.010143160283308124,151982,-0.016575572760388818,-0.024997713426753537,-0.010001920615225117,True
7,-0.01,0.0,1132,6.532730306155367e-05,1115,-0.007599886514251389,-0.009987191754498722,-0.004745796621013871,True
8,0.0,0.01,245432,0.014163790322441024,209155,3.479932940866485e-05,0.0,0.009998050060360851,True
9,0.01,0.025,175446,0.010124924039697301,151954,0.016578502686896354,0.010005365864421845,0.02499868464272704,True
10,0.025,0.05,325396,0.01877848331008597,254260,0.03981534860855935,0.02500024201084879,0.04999994572808181,True
11,0.05,0.1,492795,0.02843901794365578,359413,0.07895223525981532,0.05000005042908885,0.0999999340707639,True
12,0.1,0.25,1285019,0.0741579731915677,698291,0.1744616327127894,0.10000035488190649,0.24999985957974577,True
13,0.25,0.5,1611740,0.09301292176362942,814096,0.3662633575693953,0.2500005501183547,0.4999999057637056,True
14,0.5,1.0,1955958,0.11287761576119293,943260,0.7196232234954943,0.5000001077076783,0.9999999928250619,True
15,1.0,,2647035,0.15275941489358633,1382286,5.018567321735811,1.0000004732925114,711.0726829742363,True
