side,interpretation,left_band,right_band,rate_series,left_magnitude_mean,right_magnitude_mean,left_kind_rate,right_kind_rate,midpoint_arc_elasticity_or_response
loss,reference-loss arc elasticity,7,6,raw,0.05513108805734499,0.17443367143581429,0.025234650402796013,0.024710980632313136,-0.020175084952850954
loss,reference-loss arc elasticity,7,6,chooser_fe_premium20_fe_adjusted,0.05513108805734499,0.17443367143581429,0.028304825385027457,0.02711596335822005,-0.041277570279882575
loss,reference-loss arc elasticity,6,5,raw,0.17443367143581429,0.3663509050356038,0.024710980632313136,0.024048537991721963,-0.038282403120552734
loss,reference-loss arc elasticity,6,5,chooser_fe_premium20_fe_adjusted,0.17443367143581429,0.3663509050356038,0.02711596335822005,0.02601509032709453,-0.05838470977201039
loss,reference-loss arc elasticity,5,4,raw,0.3663509050356038,0.7199293999341689,0.024048537991721963,0.023779395891934323,-0.017288450821911636
loss,reference-loss arc elasticity,5,4,chooser_fe_premium20_fe_adjusted,0.3663509050356038,0.7199293999341689,0.02601509032709453,0.024925889425268823,-0.06568962179868607
loss,reference-loss arc elasticity,4,3,raw,0.7199293999341689,1.4092345341629255,0.023779395891934323,0.023886177173122858,0.006919710038976439
loss,reference-loss arc elasticity,4,3,chooser_fe_premium20_fe_adjusted,0.7199293999341689,1.4092345341629255,0.024925889425268823,0.023589597568772245,-0.08507824337515472
loss,reference-loss arc elasticity,3,2,raw,1.4092345341629255,2.6952657019054453,0.023886177173122858,0.027856275730142432,0.24488549734756987
loss,reference-loss arc elasticity,3,2,chooser_fe_premium20_fe_adjusted,1.4092345341629255,2.6952657019054453,0.023589597568772245,0.0242789096482979,0.045959447145206264
loss,reference-loss arc elasticity,2,1,raw,2.6952657019054453,4.868764251352194,0.027856275730142432,0.02831213682178439,0.028244524097933467
loss,reference-loss arc elasticity,2,1,chooser_fe_premium20_fe_adjusted,2.6952657019054453,4.868764251352194,0.0242789096482979,0.024174899769993884,-0.007470343066634354
loss,reference-loss arc elasticity,1,0,raw,4.868764251352194,33.97144241621954,0.02831213682178439,0.04499239552004379,0.3036830342090804
loss,reference-loss arc elasticity,1,0,chooser_fe_premium20_fe_adjusted,4.868764251352194,33.97144241621954,0.024174899769993884,0.030979006771405,0.1646430608234445
gain,rating-gain response arc; not a price elasticity,8,9,raw,0.04421077018480174,0.1744616327127894,0.026886315451359045,0.026864972424532244,-0.0006666233246696229
gain,rating-gain response arc; not a price elasticity,8,9,chooser_fe_premium20_fe_adjusted,0.04421077018480174,0.1744616327127894,0.029246793693459346,0.029284652492453395,0.0010859027856413611
gain,rating-gain response arc; not a price elasticity,9,10,raw,0.1744616327127894,0.3662633575693953,0.026864972424532244,0.027707322521002147,0.0435155368055566
gain,rating-gain response arc; not a price elasticity,9,10,chooser_fe_premium20_fe_adjusted,0.1744616327127894,0.3662633575693953,0.029284652492453395,0.029419365708717546,0.006469434333345868
gain,rating-gain response arc; not a price elasticity,10,11,raw,0.3662633575693953,0.7196232234954943,0.027707322521002147,0.02924909430570595,0.08318493445663704
gain,rating-gain response arc; not a price elasticity,10,11,chooser_fe_premium20_fe_adjusted,0.3662633575693953,0.7196232234954943,0.029419365708717546,0.029775993228843268,0.018513751929295708
gain,rating-gain response arc; not a price elasticity,11,12,raw,0.7196232234954943,1.407582052552089,0.02924909430570595,0.032798126358108574,0.17686200412337327
gain,rating-gain response arc; not a price elasticity,11,12,chooser_fe_premium20_fe_adjusted,0.7196232234954943,1.407582052552089,0.029775993228843268,0.031126987314620446,0.06859016593355688
gain,rating-gain response arc; not a price elasticity,12,13,raw,1.407582052552089,2.6863961144221857,0.032798126358108574,0.039612663700293364,0.3012806286267708
gain,rating-gain response arc; not a price elasticity,12,13,chooser_fe_premium20_fe_adjusted,1.407582052552089,2.6863961144221857,0.031126987314620446,0.03303152474710524,0.09503276132989218
gain,rating-gain response arc; not a price elasticity,13,14,raw,2.6863961144221857,4.85998682075735,0.039612663700293364,0.043011290394274794,0.1428099805767161
gain,rating-gain response arc; not a price elasticity,13,14,chooser_fe_premium20_fe_adjusted,2.6863961144221857,4.85998682075735,0.03303152474710524,0.03402770989169926,0.05157539224065534
gain,rating-gain response arc; not a price elasticity,14,15,raw,4.85998682075735,28.74775022566471,0.043011290394274794,0.05689732700474644,0.19554158834877222
gain,rating-gain response arc; not a price elasticity,14,15,chooser_fe_premium20_fe_adjusted,4.85998682075735,28.74775022566471,0.03402770989169926,0.039034103101352954,0.09640471909610411
