signed_band,label,lower_bound,upper_bound,reference_bin,rows,choosers,kind_draws,draw_payoff_mean,draw_payoff_median,draw_payoff_minimum,draw_payoff_maximum,reference_loss_magnitude_mean,reference_gain_magnitude_mean,raw_kind_rate,raw_kind_rate_pct,adjusted_kind_rate_centered_to_overall_mean,adjusted_kind_rate_pct,bin_effect_relative_to_just_below_zero_probability_units,bin_effect_relative_to_just_below_zero_pp
0,draw_lt_m6,-inf,-6.0,False,321521,277927,14466,-33.97144241621954,-13.54745915011387,-708.9015248073855,-6.000072431317664,33.97144241621954,,0.04499239552004379,4.499239552004379,0.030979006771405,3.0979006771404998,0.0026741813863775422,0.2674181386377542
1,m6_to_m4,-6.0,-4.0,False,206166,163652,5837,-4.868764251352194,-4.830144496608238,-5.99999181293715,-4.000005194044394,4.868764251352194,,0.02831213682178439,2.831213682178439,0.024174899769993884,2.4174899769993883,-0.004129925615033571,-0.4129925615033571
2,m4_to_m2,-4.0,-2.0,False,598034,447494,16659,-2.6952657019054453,-2.5301252998199657,-3.9999975675057344,-2.0000009489586392,2.6952657019054453,,0.027856275730142432,2.785627573014243,0.0242789096482979,2.42789096482979,-0.004025915736729557,-0.4025915736729557
3,m2_to_m1,-2.0,-1.0,False,1617672,886217,38640,-1.4092345341629255,-1.36559509022083,-1.999997283670888,-1.0000001032707329,1.4092345341629255,,0.023886177173122858,2.388617717312286,0.023589597568772245,2.3589597568772245,-0.0047152278162552125,-0.47152278162552125
4,m1_to_m0p5,-1.0,-0.5,False,1956736,941074,46530,-0.7199293999341689,-0.7081013885386795,-0.9999993114169088,-0.5000000144103607,0.7199293999341689,,0.023779395891934323,2.3779395891934323,0.024925889425268823,2.4925889425268823,-0.0033789359597586337,-0.3378935959758634
5,m0p5_to_m0p25,-0.5,-0.25,False,1610285,811437,38725,-0.3663509050356038,-0.3611379819781774,-0.4999999896663539,-0.2500002823946183,0.3663509050356038,,0.024048537991721963,2.404853799172196,0.02601509032709453,2.601509032709453,-0.0022897350579329278,-0.2289735057932928
6,m0p25_to_m0p1,-0.25,-0.1,False,1283478,695636,31716,-0.17443367143581429,-0.17723285732516522,-0.249999800778226,-0.10000002874458032,0.17443367143581429,,0.024710980632313136,2.4710980632313135,0.02711596335822005,2.711596335822005,-0.0011888620268074052,-0.11888620268074052
7,m0p1_to_0,-0.1,0.0,True,995417,578231,25119,-0.05513108805734499,-0.049601390660184826,-0.09999994359478596,-0.004745796621013871,0.05513108805734499,,0.025234650402796013,2.5234650402796013,0.028304825385027457,2.8304825385027454,0.0,0.0
8,0_to_0p1,0.0,0.1,False,1239069,674087,33314,0.04421077018480174,0.048018585456071516,0.0,0.0999999340707639,,0.04421077018480174,0.026886315451359045,2.6886315451359044,0.029246793693459346,2.9246793693459345,0.0009419683084318874,0.09419683084318874
9,0p1_to_0p25,0.1,0.25,False,1285019,698291,34522,0.1744616327127894,0.1772959375416919,0.10000035488190649,0.24999985957974577,,0.1744616327127894,0.026864972424532244,2.6864972424532243,0.029284652492453395,2.9284652492453396,0.0009798271074259403,0.09798271074259403
10,0p25_to_0p5,0.25,0.5,False,1611740,814096,44657,0.3662633575693953,0.3610753913801491,0.2500005501183547,0.4999999057637056,,0.3662633575693953,0.027707322521002147,2.7707322521002147,0.029419365708717546,2.9419365708717544,0.001114540323690088,0.1114540323690088
11,0p5_to_1,0.5,1.0,False,1955958,943260,57210,0.7196232234954943,0.7079972299121267,0.5000001077076783,0.9999999928250619,,0.7196232234954943,0.02924909430570595,2.924909430570595,0.029775993228843268,2.977599322884327,0.0014711678438158108,0.14711678438158107
12,1_to_2,1.0,2.0,False,1596890,881610,52375,1.407582052552089,1.3651414280077798,1.0000004732925114,1.9999978904237161,,1.407582052552089,0.032798126358108574,3.2798126358108575,0.031126987314620446,3.1126987314620447,0.002822161929592988,0.28221619295929884
13,2_to_4,2.0,4.0,False,569944,437869,22577,2.6863961144221857,2.5210049497077693,2.000001352827911,3.9999816964386,,2.6863961144221857,0.039612663700293364,3.9612663700293362,0.03303152474710524,3.3031524747105236,0.0047266993620777836,0.47266993620777836
14,4_to_6,4.0,6.0,False,179976,152663,7741,4.85998682075735,4.806343816489625,4.000034516244988,5.99997790547463,,4.85998682075735,0.043011290394274794,4.3011290394274795,0.03402770989169926,3.402770989169926,0.0057228845066718045,0.5722884506671805
15,draw_ge_6,6.0,inf,False,300225,262041,17082,28.74775022566471,12.592716156200371,6.000039675339666,711.0726829742363,,28.74775022566471,0.05689732700474644,5.689732700474644,0.039034103101352954,3.9034103101352953,0.010729277716325494,1.0729277716325494
