model,estimand_class,variable,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,rank,fixed_effects,clusters,drop_reason
corrected_dates_all_controls_HC1,postcertification_sensitivity,is_kind_role,estimated,0.2699092687062855,0.017169513740532452,15.720262832435651,1.0986697484475966e-55,0.2362576401427763,0.3035608972697947,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log_fair_opps,estimated,-0.11492540241328558,0.06141565973358635,-1.8712719673096077,0.061307394003775675,-0.23529788357788162,0.005447078751310466,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log_total_opps,estimated,-0.04616405404582263,0.048935813744194215,-0.9433592805289679,0.3454971635632153,-0.14207648653860347,0.0497483784469582,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,account_age_days_at_query,estimated,0.1435865597479724,0.011188437732017498,12.83347712943663,1.0647607413110802e-37,0.12165762474994911,0.1655154947459957,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,days_since_seen_at_query,estimated,-0.09734770076101194,0.003954938628254966,-24.6142127378509,8.898733248433708e-134,-0.10509923803345793,-0.08959616348856596,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log_playtime_total,estimated,0.1411988670412485,0.016512277980193425,8.551144016023555,1.2187444207990064e-17,0.10883539689735561,0.1735623371851414,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,account_age_days_at_query__missing,estimated,-0.030518331585273728,0.18769014675670356,-0.1625995403202152,0.8708337489475846,-0.39838425948144995,0.3373475963109025,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,play_time_total_seconds__missing,estimated,-0.20969035910567513,0.1880341156709502,-1.11517188440752,0.26477677184566034,-0.5782304536855761,0.15884973547422587,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_eval_disconnected_better,estimated,-0.014713702612312196,0.008174352532921609,-1.7999838584222825,0.07186318702311087,-0.030735139173772318,0.0013077339491479253,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_eval_roughly_equal,estimated,0.004797205583997433,0.016822563663038942,0.28516495345697107,0.7755177691599439,-0.0281744133231911,0.037768824491185966,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_eval_modestly_worse,estimated,0.021930737355625674,0.011709323289450476,1.8729295291884362,0.06107811688850987,-0.001019114575033335,0.04488058928628468,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_eval_clearly_worse,estimated,-0.082781992536479,0.03553593998924554,-2.3295287126647506,0.01983107373451792,-0.15243115507217694,-0.013132830000781054,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,mean_eval_capped600,estimated,-0.035950214274242276,0.025832456578540927,-1.3916684294015689,0.1640228266693918,-0.08658089880037728,0.01468047025189273,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_fair_nonnegative,estimated,-0.007098405899406857,0.005460930900178928,-1.2998527227609264,0.19365145138975856,-0.017801633785819452,0.0036048219870057387,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,panel_mean_draw_payoff_fair,estimated,0.0038375609229463897,0.002906735801387197,1.3202303838948726,0.18675811047051397,-0.0018595365603456884,0.009534658406238468,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,panel_mean_win_premium_fair,estimated,0.04260437436767772,0.004389967337478309,9.704941083263408,2.8724220951186583e-22,0.03400019649291304,0.051208552242442404,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,active_months,estimated,0.17900567035846926,0.01651392854966772,10.839678143216325,2.232551050045878e-27,0.14663896515785274,0.21137237555908578,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_speed_bullet,estimated,0.7107305432302553,0.12966146880803922,5.481432146063957,4.218965347660702e-08,0.4565987341839348,0.9648623522765758,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_speed_blitz,estimated,1.1833172151429494,0.21286828132061567,5.558917504297756,2.7145295497874502e-08,0.7661030503036024,1.6005313799822964,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_speed_rapid,estimated,1.1965800033100322,0.2102272043327209,5.691841867507487,1.2567622185672137e-08,0.7845422542473565,1.6086177523727079,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_speed_classical_long,estimated,0.37223436185031744,0.06959105114262457,5.348882589622557,8.849892833875456e-08,0.23583840796448832,0.5086303157361466,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_tournament,estimated,0.02723433159448576,0.007052133523098167,3.861857054362902,0.00011252840355312881,0.013412403875045787,0.04105625931392573,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log1p_current_bullet_games,estimated,0.04194257917218003,0.012096199532411409,3.467417932367611,0.000525484174331262,0.018234463738843423,0.06565069460551663,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log1p_current_blitz_games,estimated,-0.019375377339784255,0.01493250453655557,-1.2975303166560102,0.19444878088393275,-0.04864254843041414,0.009891793750845632,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log1p_current_rapid_games,estimated,0.04925225821604956,0.010369293256171334,4.749818237297594,2.035995628303064e-06,0.02892881688881968,0.06957569954327944,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,log1p_current_classical_games,estimated,0.1375394905148721,0.011483442356777375,11.977200410963714,4.678575067982644e-33,0.11503235707704669,0.16004662395269753,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,mean_chooser_elo,estimated,-0.186875741954027,0.01915034734927054,-9.758347383769273,1.6990118051302357e-22,-0.22440973305002937,-0.14934175085802465,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,sd_chooser_elo,estimated,0.02724737966197055,0.007299221136253878,3.7329160404029778,0.00018927570043763775,0.012941169119719419,0.04155359020422168,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,rating_tier_1200_1599,estimated,-0.08427180846558091,0.022555607205424086,-3.736179997198903,0.00018683695090469473,-0.12847998623764426,-0.040063630693517566,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,rating_tier_1600_1999,estimated,0.005721179096684015,0.03965653975282027,0.14426823753015766,0.8852886586683909,-0.07200421057032465,0.08344656876369268,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,rating_tier_2000_2399,estimated,0.38076139368063444,0.0660747750785894,5.762583273688884,8.283614860740699e-09,0.25125721424001446,0.5102655731212544,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,rating_tier_2400_plus,estimated,1.1244726042284805,0.20826227648658704,5.399310058444027,6.689766920384861e-08,0.7162860429764469,1.532659165480514,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,current_bullet_rating,estimated,0.10458394020222461,0.009318086540682093,11.22375712498684,3.1173868714049723e-29,0.08632082617766029,0.12284705422678893,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,current_blitz_rating,estimated,-0.01096801056820873,0.009889372341420226,-1.1090704434568393,0.26739979423797894,-0.03035082418709892,0.008414803050681461,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,current_rapid_rating,estimated,0.09547110237685247,0.009753860614846017,9.788032261968063,1.2673827739711888e-22,0.07635388686153056,0.11458831789217437,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,current_classical_rating,estimated,0.12661434001511598,0.008764277467847394,14.446637555647118,2.6322595767482962e-47,0.1094366718276192,0.1437920082026128,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,current_correspondence_rating,estimated,0.30770129648377936,0.013621599891417447,22.5892185159287,5.531752171127279e-113,0.28100345128478643,0.3343991416827723,HC1,995606,37,match_cell,,
corrected_dates_all_controls_HC1,postcertification_sensitivity,days_since_seen_at_query__missing,dropped,,,,,,,HC1,995606,37,match_cell,,deterministically_collinear
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_fair,dropped,,,,,,,HC1,995606,37,match_cell,,deterministically_collinear
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_clearly_worse,dropped,,,,,,,HC1,995606,37,match_cell,,deterministically_collinear
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_fair_costly,dropped,,,,,,,HC1,995606,37,match_cell,,deterministically_collinear
corrected_dates_all_controls_HC1,postcertification_sensitivity,share_speed_other,dropped,,,,,,,HC1,995606,37,match_cell,,zero_after_fixed_effect_absorption
