model,estimand_class,variable,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,rank,fixed_effects,clusters,drop_reason
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,ever_kind_eval_clearly_better,estimated,0.34572315816649724,0.028268433585148845,12.230007620518704,2.149184718179851e-34,0.290318046440243,0.40112826989275147,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,ever_kind_eval_better,estimated,0.2917062621950144,0.03679500992167486,7.927875622699012,2.2292641115058727e-15,0.2195893679377377,0.3638231564522911,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,ever_kind_eval_roughly_equal,estimated,0.2300539122008389,0.022247597734005566,10.340618117577716,4.615507971210237e-25,0.18644942189965308,0.2736584025020247,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,ever_kind_eval_modestly_worse,estimated,-0.06190125424306686,0.03993426777037129,-1.5500786091536576,0.12112264954159302,-0.14017098082197324,0.016368472335839518,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,ever_kind_eval_clearly_worse,estimated,-0.210023465694988,0.018920524563001164,-11.100298249958994,1.2502597070217058e-28,-0.24710701240707572,-0.1729399189829003,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,log_eval_clearly_better_opps,estimated,-0.18150710644395918,0.012382058419878012,-14.65887983152864,1.1820699638216834e-48,-0.205775495001391,-0.15723871788652735,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,log_eval_better_opps,estimated,-0.10132254321663149,0.012231363910302722,-8.28383032012362,1.1927551970768683e-16,-0.12529557596262783,-0.07734951047063515,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,log_eval_roughly_equal_opps,estimated,0.0816617537787446,0.01957144128106494,4.172495658648863,3.0128134185766262e-05,0.04330243374231686,0.12002107381517234,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,log_eval_modestly_worse_opps,estimated,0.14705093415920742,0.010457545403008152,14.061706499204648,6.529254600602897e-45,0.12655452180261903,0.1675473465157958,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_exposure_HC1,postcertification_secondary,log_eval_clearly_worse_opps,estimated,0.03465591415316881,0.010659486712219179,3.2511803887744475,0.0011492691311559204,0.013763704103535945,0.05554812420280167,HC1,1305683,10,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,ever_kind_eval_clearly_better,estimated,0.2734877877990782,0.028640869096552855,9.5488648363675,1.311251283169864e-21,0.21735271588390834,0.329622859714248,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,ever_kind_eval_better,estimated,0.25215749521748676,0.037202290996621,6.778009860747276,1.218425361121174e-11,0.1792423447217309,0.3250726457132426,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,ever_kind_eval_roughly_equal,estimated,0.21414641305320692,0.022343019057013892,9.584488672133247,9.291674087816464e-22,0.1703549003955676,0.2579379257108462,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,ever_kind_eval_modestly_worse,estimated,-0.03568666696677056,0.04432916801434387,-0.8050380497830052,0.4207977230019045,-0.12257023973950948,0.05119690580596836,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,ever_kind_eval_clearly_worse,estimated,-0.16858487313801176,0.021322253355566267,-7.906522370160373,2.6467875561830032e-15,-0.21037572178415997,-0.12679402449186356,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_eval_clearly_better_opps,estimated,-0.16644711388282607,0.020998522104023445,-7.926610885198144,2.2520755238397494e-15,-0.20760346093528026,-0.12529076683037188,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_eval_better_opps,estimated,-0.1579278814491702,0.0199240195511924,-7.926507050617637,2.253958512666665e-15,-0.19697824219677917,-0.1188775207015612,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_eval_roughly_equal_opps,estimated,-0.12725251186063857,0.03872378457886448,-3.2861589652085104,0.001015636753127974,-0.2031497349803005,-0.05135528874097664,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_eval_modestly_worse_opps,estimated,0.10922350114498935,0.017772031748625898,6.145808351565337,7.95572962657923e-10,0.0743909589855802,0.14405604330439853,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_eval_clearly_worse_opps,estimated,-0.07331499776769372,0.06544923616295457,-1.120181106241715,0.26263659360774005,-0.20159314346274115,0.054963147927353725,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_fair_opps,estimated,0.34049890374216973,0.09128205357235696,3.7301845260554414,0.00019133958588887147,0.1615893663054943,0.5194084411788451,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_total_opps,estimated,-0.1028367638018216,0.09226705749781144,-1.1145555801891793,0.26504091435958627,-0.2836768734570184,0.07800334585337518,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,account_age_days_at_query,estimated,0.13296656619457917,0.009866313664468579,13.476823332044454,2.1412942297955e-41,0.11362894675204535,0.15230418563711298,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,days_since_seen_at_query,estimated,-0.09432249440248999,0.003530094887546651,-26.719535142026263,2.7912747022073596e-157,-0.1012413532440904,-0.08740363556088958,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log_playtime_total,estimated,0.1364531565967919,0.014664718393570192,9.304860341308727,1.3416854314591358e-20,0.10771083670197226,0.16519547649161156,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,account_age_days_at_query__missing,estimated,-0.029712116042016845,0.1651218453008238,-0.17994055231084927,0.8571992386270519,-0.35334498589242586,0.29392075380839217,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,play_time_total_seconds__missing,estimated,-0.2107468603271112,0.16541078274181775,-1.2740817547309264,0.2026344438123481,-0.5349460371556536,0.11345231650143112,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_eval_disconnected_better,estimated,-0.011929947824766585,0.008713442857092019,-1.369142831418995,0.1709546320034113,-0.029007982006014732,0.005148086356481563,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_eval_roughly_equal,estimated,-0.038052822068322056,0.016413163109907963,-2.318433187649924,0.02042579013126358,-0.07022203063612309,-0.005883613500521023,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_eval_modestly_worse,estimated,-0.028174078709821526,0.012747674499496707,-2.2101347748511992,0.027095810057962348,-0.053159061615474734,-0.0031890958041683216,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_eval_clearly_worse,estimated,-0.057569510033381066,0.03351605200929547,-1.7176697905055915,0.08585686256487537,-0.1232597648755715,0.008120744808809366,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,mean_eval_capped600,estimated,-0.039102140223893356,0.023247983902409106,-1.68195833187244,0.09257692012688555,-0.08466735138578214,0.006463070937995433,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_fair_nonnegative,estimated,-0.0036902304458535234,0.004847051583789868,-0.7613350883648249,0.44645694770573463,-0.013190276981289493,0.005809816089582446,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,panel_mean_draw_payoff_fair,estimated,0.0020667551503378845,0.002443069852820628,0.8459664581230569,0.3975714561692309,-0.0027215737729061164,0.006855084073581885,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,panel_mean_win_premium_fair,estimated,0.035298819159375903,0.003743845364969357,9.428492824426476,4.160236454942388e-21,0.02796101708034875,0.04263662123840306,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,active_months,estimated,0.14752984665097957,0.014481878357223242,10.187203828942184,2.2617604866930036e-24,0.11914588664233193,0.1759138066596272,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_speed_bullet,estimated,0.7522022229737217,0.12190891280748112,6.170198762756596,6.820419972387417e-10,0.513265144476625,0.9911393014708185,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_speed_blitz,estimated,1.247067339894329,0.19686779001860105,6.334542282292598,2.3804688523142714e-10,0.861213561741877,1.632921118046781,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_speed_rapid,estimated,1.2591894702252944,0.19440111924162143,6.477274797272365,9.33940135295996e-11,0.8781702779574398,1.640208662493149,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_speed_classical_long,estimated,0.40141716522404636,0.06246628381905547,6.426141282660923,1.3088376435934545e-10,0.2789854986906405,0.5238488317574522,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,share_tournament,estimated,0.028084682998875288,0.006291777312295021,4.463712176207167,8.055175426829631e-06,0.015753026068030827,0.04041633992971975,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log1p_current_bullet_games,estimated,0.058437189089876995,0.010700031408688367,5.461403509752908,4.7238497675217726e-08,0.03746551289540041,0.07940886528435358,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log1p_current_blitz_games,estimated,-0.01941525128386956,0.01319761577067503,-1.471118088390636,0.1412591840399516,-0.045282102876190444,0.006451600308451325,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log1p_current_rapid_games,estimated,0.05195484596147787,0.009163422700852738,5.669807849925226,1.429577600814143e-08,0.03399486749268975,0.06991482443026599,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,log1p_current_classical_games,estimated,0.12744090230015848,0.010058002591323053,12.670597481263385,8.60564163157729e-37,0.10772757946475475,0.1471542251355622,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,mean_chooser_elo,estimated,-0.18359526733171694,0.016949634444914832,-10.831812799762092,2.432904379500267e-27,-0.21681594039486957,-0.1503745942685643,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,sd_chooser_elo,estimated,0.02223883959076073,0.0064312045686516755,3.457958669074521,0.0005442848774668934,0.00963391025899399,0.03484376892252747,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,rating_tier_1200_1599,estimated,-0.07553782500148376,0.019875435144079075,-3.8005620734289485,0.00014436824688716322,-0.11449296206094041,-0.03658268794202711,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,rating_tier_1600_1999,estimated,0.002524159539455173,0.03494633474476884,0.07222959311442576,0.9424191947737977,-0.0659693979519725,0.07101771703088285,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,rating_tier_2000_2399,estimated,0.35042015210250543,0.05837524578967642,6.0028895358326135,1.93836500493833e-09,0.23600677276606624,0.4648335314389446,HC1,1233060,46,match_cell,,
five_bin_chooser_min0_full_HC1,postcertification_secondary,rating_tier_2400_plus,estimated,1.062004745284924,0.18472811708595502,5.749015158265091,8.97647710532952e-09,0.699944288864554,1.424065201705294,HC1,1233060,46,match_cell,,
