model,estimand_class,variable,status,coefficient_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,rank,fixed_effects,clusters,drop_reason
price_count_min2_exposure_HC1,postcertification_secondary,log1p_fair_costly_kind_count,estimated,0.05994886500299887,0.01438770155538582,4.16667420937418,3.090757154752763e-05,0.03174948813413174,0.088148241871866,HC1,653924,5,match_cell,,
price_count_min2_exposure_HC1,postcertification_secondary,log1p_fair_nonnegative_kind_count,estimated,0.15253176948373695,0.014885025003127375,10.247330417764815,1.2165718513149325e-24,0.1233576565686291,0.1817058823988448,HC1,653924,5,match_cell,,
price_count_min2_exposure_HC1,postcertification_secondary,log_fair_costly_opps,estimated,0.08315620687583539,0.022000571860836503,3.7797293362116102,0.00015699892998846516,0.040035878389310484,0.12627653536236028,HC1,653924,5,match_cell,,
price_count_min2_exposure_HC1,postcertification_secondary,log_fair_nonnegative_opps,estimated,-0.12718574491952103,0.02365912242341931,-5.375759195261801,7.626065815622922e-08,-0.1735567727752469,-0.08081471706379517,HC1,653924,5,match_cell,,
price_count_min2_exposure_HC1,postcertification_secondary,log_total_opps,estimated,0.09542795276076699,0.020614356796086163,4.629198655321854,3.6708348904093734e-06,0.05502455587597961,0.13583134964555438,HC1,653924,5,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log1p_fair_costly_kind_count,estimated,0.059930540166582225,0.014314734734650511,4.186632953910997,2.8312311689316988e-05,0.031874175638422694,0.08798690469474175,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log1p_fair_nonnegative_kind_count,estimated,0.12277333214579422,0.014771332466538825,8.31159493728206,9.44242608234427e-17,0.09382205250771092,0.15172461178387753,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log_fair_costly_opps,estimated,0.12614148602321273,0.11793426089122674,1.0695915255665671,0.28480321135189235,-0.10500541786694231,0.35728838991336775,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log_fair_nonnegative_opps,estimated,-0.31883446900773826,0.16035231355342952,-1.9883371929117963,0.04677440998434229,-0.6331192284101341,-0.0045497096053424,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log_total_opps,estimated,-0.0022166421636971023,0.08417396003170027,-0.0263340605914502,0.9789908879016912,-0.16719457226194362,0.16276128793454941,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,log_fair_opps,estimated,0.031168607625425615,0.15942593636507862,0.19550525050109052,0.8449974276859725,-0.281300485851703,0.3436377011025542,HC1,653924,40,match_cell,,
price_count_min2_full_HC1,postcertification_secondary,account_age_days_at_query,estimated,0.12148466190536855,0.014532201874904086,8.35968719338826,6.288477035627981e-17,0.09300206961449109,0.149967254196246,HC1,653924,40,match_cell,,
