model,contrast,status,first,second,difference_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,estimand_class
price_count_min2_exposure_HC1,standardized_costly_minus_nonnegative_count,estimated,log1p_fair_costly_kind_count,log1p_fair_nonnegative_kind_count,-0.09258290448073808,0.025400817663355772,-3.6448789053866504,0.00026751773388873244,-0.14236759227878426,-0.04279821668269192,HC1,653924,postcertification_secondary
price_count_min2_full_HC1,standardized_costly_minus_nonnegative_count,estimated,log1p_fair_costly_kind_count,log1p_fair_nonnegative_kind_count,-0.062842791979212,0.02523636679971462,-2.4901679579297697,0.012768274003504129,-0.112305162007295,-0.013380421951128998,HC1,653924,postcertification_secondary
price_rate_min2_exposure_HC1,standardized_costly_minus_nonnegative_rate,estimated,fair_costly_kind_rate,fair_nonnegative_kind_rate,-0.11446640720269141,0.024839548614447905,-4.608232177621461,4.061070389522024e-06,-0.1631510278792411,-0.06578178652614172,HC1,653924,postcertification_secondary
price_rate_min2_full_HC1,standardized_costly_minus_nonnegative_rate,estimated,fair_costly_kind_rate,fair_nonnegative_kind_rate,-0.08424071804589542,0.024663594764997493,-3.4155896108644153,0.0006364408483579806,-0.13258047551458113,-0.03590096057720971,HC1,653924,postcertification_secondary
price_count_min4_exposure_HC1,standardized_costly_minus_nonnegative_count,estimated,log1p_fair_costly_kind_count,log1p_fair_nonnegative_kind_count,-0.12312670568648687,0.036725463761400304,-3.3526249385554983,0.0008004910276954088,-0.19510729197436238,-0.05114611939861137,HC1,399553,postcertification_secondary
price_count_min4_full_HC1,standardized_costly_minus_nonnegative_count,estimated,log1p_fair_costly_kind_count,log1p_fair_nonnegative_kind_count,-0.08994524369469659,0.0364800366370346,-2.465601791731317,0.013678330405132846,-0.16144480165798608,-0.018445685731407105,HC1,399553,postcertification_secondary
price_count_min4_full_CR1,standardized_costly_minus_nonnegative_count,estimated,log1p_fair_costly_kind_count,log1p_fair_nonnegative_kind_count,-0.08994524369469659,0.037457562726329593,-2.401257240142655,0.016338846128828927,-0.16336071758695253,-0.016529769802440628,CR1,399553,postcertification_sensitivity
price_rate_min4_exposure_HC1,standardized_costly_minus_nonnegative_rate,estimated,fair_costly_kind_rate,fair_nonnegative_kind_rate,-0.16243629027193313,0.04519825256004971,-3.5938621754485474,0.0003258122279817992,-0.25102323745377586,-0.0738493430900904,HC1,399553,postcertification_secondary
price_rate_min4_full_HC1,standardized_costly_minus_nonnegative_rate,estimated,fair_costly_kind_rate,fair_nonnegative_kind_rate,-0.1229540695932772,0.04488524151860147,-2.739298384800319,0.006157046538169457,-0.21092752640711798,-0.03498061277943641,HC1,399553,postcertification_secondary
price_rate_min4_full_CR1,standardized_costly_minus_nonnegative_rate,estimated,fair_costly_kind_rate,fair_nonnegative_kind_rate,-0.1229540695932772,0.058170452268345565,-2.1136859831530783,0.03454209647523524,-0.23696606100364082,-0.008942078182913607,CR1,399553,postcertification_sensitivity
