model,contrast,status,first,second,difference_pp,se_pp,statistic,p_two_sided_approx,ci95_low_pp,ci95_high_pp,covariance,n,estimand_class
diagnostic_horse_race_min2_exposure_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.6422237230347382,0.035890480197716186,17.893985243351654,1.3136802978960397e-71,0.5718796744593665,0.7125677716101099,HC1,926877,secondary
diagnostic_horse_race_min2_full_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.5042163491780361,0.03533573812343145,14.269302863201991,3.399600277435074e-46,0.43495957508897154,0.5734731232671008,HC1,926877,secondary
diagnostic_horse_race_min4_exposure_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.6992250052497972,0.04296173331011593,16.275530603071715,1.4723768652097786e-59,0.6150215552485553,0.7834284552510392,HC1,713892,confirmatory
diagnostic_horse_race_min4_full_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.5638247832423892,0.042351951483451625,13.3128406954918,1.9492696594710932e-40,0.48081648365983626,0.646833082824942,HC1,713892,confirmatory
diagnostic_horse_race_min4_full_match_cell_fe_CR1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.5638247832423892,0.06617688947494596,8.51996501672761,1.5960152298749317e-17,0.43412046326260734,0.693529103222171,CR1,713892,sensitivity
diagnostic_horse_race_min5_exposure_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.7238274251228958,0.04629366789763864,15.635560066732516,4.1679411741637015e-55,0.6330935033312659,0.8145613469145256,HC1,635485,secondary
diagnostic_horse_race_min5_full_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.5932608910887083,0.04566268440349577,12.992247364311556,1.35392072862163e-38,0.5037636742204378,0.6827581079569788,HC1,635485,secondary
diagnostic_horse_race_min10_exposure_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.7553212445316606,0.06172182694458939,12.237506274883085,1.959612670578494e-34,0.6343486866602515,0.8762938024030698,HC1,380852,secondary
diagnostic_horse_race_min10_full_match_cell_fe_HC1,fair_minus_clearly_worse,estimated,ever_kind_fair_state,ever_kind_clearly_worse_state,0.6305566772865283,0.06099271224417132,10.33822983247948,4.731973186825179e-25,0.5110131579685373,0.7501001966045193,HC1,380852,secondary
price_side_horse_race_min2_match_cell_fe_HC1,costly_minus_nonnegative,estimated,ever_kind_fair_costly,ever_kind_fair_nonnegative,-0.14027219317290562,0.05549405832125552,-2.527697512423201,0.011481322379449795,-0.24903854883853174,-0.031505837507279505,HC1,653924,secondary
price_side_horse_race_min2_full_match_cell_fe_HC1,costly_minus_nonnegative,estimated,ever_kind_fair_costly,ever_kind_fair_nonnegative,-0.08492091657765569,0.05514470403820002,-1.5399650439474475,0.12356887436815012,-0.1930025504306482,0.023160717275336834,HC1,653924,secondary
price_side_horse_race_min4_match_cell_fe_HC1,costly_minus_nonnegative,estimated,ever_kind_fair_costly,ever_kind_fair_nonnegative,-0.2217524588273474,0.07545570068214638,-2.938843014147722,0.0032943989229983683,-0.3696429145925887,-0.07386200306210611,HC1,399553,secondary
price_side_horse_race_min4_full_match_cell_fe_HC1,costly_minus_nonnegative,estimated,ever_kind_fair_costly,ever_kind_fair_nonnegative,-0.16542839002669824,0.07495801395792326,-2.2069473468115017,0.02731773807763475,-0.31234339773687847,-0.018513382316517973,HC1,399553,secondary
