diagnostic_group,users,patrons,patron_rate_pct,minimum_opportunities_each_state
both,27605,139,0.5035319688462235,2
fair_only,155223,1261,0.8123796086920109,2
losing_only,40654,92,0.22629999508043488,2
neither,703395,2778,0.39494167572985306,2
both,22498,122,0.5422704240376922,4
fair_only,118221,1061,0.8974716843877145,4
losing_only,31847,82,0.257481081420542,4
neither,541326,2346,0.43338025515123973,4
both,20544,114,0.5549065420560748,5
fair_only,104688,972,0.9284731774415406,5
losing_only,28533,76,0.26635825184873657,5
neither,481720,2148,0.4459021838412356,5
both,13417,83,0.6186181709771186,10
fair_only,60977,607,0.9954573035734785,10
losing_only,17924,51,0.2845347020754296,10
neither,288534,1431,0.49595541599950094,10
