sample,estimand_class,treatment,bot_policy,status,treated_n,control_n,treated_successes,control_successes,treated_rate_pct,control_rate_pct,gap_pp,unpooled_se_pp,ci95_low_pp,ci95_high_pp,pooled_z,pooled_p_two_sided,relative_ratio,relative_lift_pct
broad_any_state_acquisition_roles,qa_secondary,is_kind_role,include,estimated,326427,979256,1743,3153,0.5339631831925669,0.3219791351801776,0.2119840480123892,0.013981373048455856,0.18458106038299674,0.23938703564178165,17.160874482724182,5.212288150966212e-66,1.6583782141465913,65.83782141465913
main_fair_kind_stored_1to3_available_cases,confirmatory,is_kind_role,include,estimated,248930,746676,1577,2448,0.6335114289157595,0.3278530446940842,0.3056583842216753,0.01722341266817126,0.2719011157011887,0.33941565274216184,20.813146477349484,3.290252480323096e-96,1.932303021638495,93.23030216384952
main_fair_kind_complete_four_account_groups,sensitivity,is_kind_role,include,estimated,248816,746448,1577,2447,0.6338016847791139,0.3278192184854136,0.30598246629370024,0.0172303757610625,0.27221155036192585,0.3397533822254747,20.829853925257144,2.321680832304647e-96,1.93338782182264,93.338782182264
main_fair_kind_stored_1to3_exclude_bot,sensitivity,is_kind_role,include,estimated,248921,746656,1577,2448,0.6335343341863483,0.3278618265975228,0.3056725075888255,0.017224009785692353,0.271914068739503,0.339430946438148,20.81345438648541,3.269185828777541e-96,1.932321126741185,93.23211267411851
main_fair_kind_legacy_2_20,sensitivity,is_kind_role,include,estimated,173888,521588,1181,1782,0.6791728008833272,0.3416489643166637,0.3375238365666635,0.02128863060067394,0.29579888730916526,0.3792487858241617,18.71390125486874,3.8140585392439337e-78,1.9879258297818905,98.79258297818905
main_fair_kind_duration_2_40,sensitivity,is_kind_role,include,estimated,197591,592688,1397,2142,0.7070160078141211,0.36140431390546124,0.34561169390865987,0.020397178171100722,0.3056339593070559,0.3855894285102639,19.925966649194784,2.4232186905126476e-88,1.9563020711453585,95.63020711453585
main_fair_kind_overlap_cells_min20,sensitivity,is_kind_role,include,estimated,248903,746595,1576,2448,0.6331783867611077,0.3278886143089627,0.30528977245214506,0.01722064887040784,0.2715379208757353,0.33904162402855476,20.788368385657716,5.515449453256869e-96,1.931077686535577,93.1077686535577
main_fair_kind_control_slot_1_1to1,sensitivity,is_kind_role,include,estimated,248895,248895,1577,836,0.6336005142730871,0.3358846099760943,0.2977159042969927,0.019683737048043215,0.2591364886016712,0.33629531999231416,15.121494352892878,1.1686029318385418e-51,1.8863636363636362,88.63636363636363
main_fair_kind_control_slot_2_1to1,sensitivity,is_kind_role,include,estimated,248894,248894,1577,779,0.633603059937162,0.3129846440653451,0.32061841587181694,0.0194502205880313,0.2824966840279161,0.35874014771571777,16.479553196220902,5.146378255890767e-61,2.024390243902439,102.4390243902439
main_fair_kind_control_slot_3_1to1,sensitivity,is_kind_role,include,estimated,248887,248887,1577,833,0.6336208801584655,0.33469004005833974,0.2989308401001257,0.01967214504945569,0.26037414430454464,0.33748753589570685,15.192117047638037,3.988279046567368e-52,1.8931572629051618,89.31572629051618
