replicate,root_seed,users,kind_users,controls,raw_gap_pp,raw_p_two_sided,fe_gap_pp,fe_p_two_sided,full_gap_pp,full_p_two_sided
1,20260826,497778,248889,248889,0.3069641486767193,2.6107579500847135e-55,0.30696414867671956,2.0757065373004533e-55,0.2668272375320552,2.4982577684871723e-42
2,20260826,497774,248887,248887,0.28848433224716435,3.5958267638641676e-48,0.2884843322471618,3.015339275549713e-48,0.24940745131520692,1.4389558627697226e-36
3,20260826,497798,248899,248899,0.30655004640436484,3.792798846206811e-55,0.30655004640437017,3.0429323308071112e-55,0.2659809967933242,4.8987482019766315e-42
4,20260826,497790,248895,248895,0.3021354386387834,2.198780522931388e-53,0.3021354386387819,1.7500694495820345e-53,0.25877795522933567,1.09183535447031e-39
5,20260826,497794,248897,248897,0.2944993310485864,1.9913933799347048e-50,0.2944993310485765,1.6338681589742141e-50,0.25549524873587026,1.3536167833981812e-38
6,20260826,497794,248897,248897,0.2924904679445715,1.145317194234975e-49,0.29249046794456895,9.41328661874241e-50,0.24996453440508204,7.563852703458838e-37
7,20260826,497788,248894,248894,0.29329754835391775,5.700673552483678e-50,0.29329754835391836,4.594198544523376e-50,0.24864308825172216,2.2888930121361153e-36
8,20260826,497782,248891,248891,0.3001313828141636,1.3524983057853113e-52,0.3001313828141634,1.0894640958245091e-52,0.2602754642671188,3.918984875300188e-40
9,20260826,497788,248894,248894,0.31097575674785255,5.990481334096041e-57,0.31097575674785544,4.7000108378978817e-57,0.27051027192228183,1.2721900139377217e-43
10,20260826,497784,248892,248892,0.28807675618340484,5.056396830393533e-48,0.2880767561834167,4.1773421652752873e-48,0.24875582307741423,1.6933956071190722e-36
11,20260826,497780,248890,248890,0.30776648318534294,1.2343877428738795e-55,0.3077664831853302,9.914858320170234e-56,0.2681188158626835,1.0569706558405547e-42
12,20260826,497790,248895,248895,0.32182245525221476,1.548769785766867e-61,0.32182245525221204,1.2027506060316848e-61,0.2804336884294081,3.051161779925769e-47
13,20260826,497774,248887,248887,0.3121898692981152,1.9029461771035764e-57,0.31218986929811476,1.4884724823723687e-57,0.2705888068041706,1.082702877734687e-43
14,20260826,497796,248898,248898,0.29610523186204785,4.851352230300759e-51,0.2961052318620467,3.949738344976476e-51,0.2530904126021529,8.81705093958324e-38
15,20260826,497788,248894,248894,0.32061841587181694,5.146378255890767e-61,0.3206184158718227,3.934132724061974e-61,0.2803242364103459,2.553480446791033e-47
16,20260826,497786,248893,248893,0.2937005058398589,4.0176476643388214e-50,0.2937005058398675,3.246061933188062e-50,0.25304284323482806,8.437720388824484e-38
