match_cell,acquisition_role,requested_users,returned_profiles,unreturned_profiles,patrons,return_rate_pct,patron_rate_returned_pct,nonreturn_total_opportunities,nonreturn_kind_draws
00__blitz,control,21141,21137,4,33,99.98107941913817,0.15612433174054974,9,0
00__blitz,kind,7047,7046,1,8,99.98580956435362,0.11353959693443089,4,1
00__bullet,control,5481,5481,0,15,100.0,0.27367268746579093,0,0
00__bullet,kind,1827,1827,0,2,100.0,0.10946907498631636,0,0
00__classical_or_long,control,2925,2925,0,6,100.0,0.20512820512820512,0,0
00__classical_or_long,kind,975,975,0,3,100.0,0.3076923076923077,0,0
00__rapid,control,24927,24924,3,18,99.98796485738356,0.07221954742416947,12,0
00__rapid,kind,8309,8308,1,10,99.98796485738356,0.1203659123736158,3,1
01__blitz,control,66783,66774,9,90,99.98652351646376,0.13478299937101268,18,0
01__blitz,kind,22261,22260,1,65,99.99550783882125,0.2920035938903863,1,1
01__bullet,control,14841,14836,5,29,99.96630954787413,0.19547047721757888,33,0
01__bullet,kind,4947,4945,2,14,99.95957145744896,0.28311425682507585,5,2
01__classical_or_long,control,7317,7314,3,24,99.9589995899959,0.3281378178835111,6,0
01__classical_or_long,kind,2439,2439,0,15,100.0,0.6150061500615006,0,0
01__rapid,control,67581,67567,14,66,99.97928411831728,0.09768082051889236,41,0
01__rapid,kind,22527,22525,2,32,99.99112176499312,0.14206437291897892,6,3
01__ultra,control,15,15,0,0,100.0,0.0,0,0
01__ultra,kind,5,5,0,0,100.0,0.0,0,0
02__blitz,control,48798,48789,9,109,99.981556621173,0.22341101477792125,87,0
02__blitz,kind,16266,16266,0,48,100.0,0.2950940612320177,0,0
02__bullet,control,10944,10944,0,43,100.0,0.3929093567251462,0,0
02__bullet,kind,3648,3648,0,20,100.0,0.5482456140350878,0,0
02__classical_or_long,control,2958,2958,0,9,100.0,0.30425963488843816,0,0
02__classical_or_long,kind,986,986,0,7,100.0,0.7099391480730223,0,0
02__rapid,control,40494,40489,5,49,99.98765249172718,0.12102052409296352,22,0
02__rapid,kind,13498,13495,3,31,99.97777448510891,0.2297147091515376,6,4
03__blitz,control,38697,38692,5,109,99.98707910173916,0.28171198180502427,48,0
03__blitz,kind,12899,12896,3,54,99.97674238313049,0.41873449131513646,22,5
03__bullet,control,9087,9087,0,37,100.0,0.4071750852866733,0,0
03__bullet,kind,3029,3029,0,18,100.0,0.5942555298778475,0,0
03__classical_or_long,control,1689,1688,1,14,99.94079336885731,0.8293838862559242,15,0
03__classical_or_long,kind,563,563,0,9,100.0,1.5985790408525755,0,0
03__rapid,control,30288,30280,8,43,99.97358689910195,0.14200792602377807,66,0
03__rapid,kind,10096,10095,1,41,99.99009508716324,0.40614165428429916,5,1
04__blitz,control,32445,32442,3,111,99.99075358298659,0.3421490660255225,23,0
04__blitz,kind,10815,10812,3,57,99.97226074895977,0.5271920088790233,34,3
04__bullet,control,7665,7665,0,29,100.0,0.37834311806914545,0,0
04__bullet,kind,2555,2555,0,22,100.0,0.8610567514677103,0,0
04__classical_or_long,control,1173,1173,0,12,100.0,1.0230179028132993,0,0
04__classical_or_long,kind,391,390,1,3,99.74424552429667,0.7692307692307693,10,3
04__rapid,control,23016,23011,5,46,99.9782759819256,0.19990439355091044,53,0
04__rapid,kind,7672,7672,0,20,100.0,0.26068821689259647,0,0
05_09__blitz,control,111249,111233,16,433,99.98561784825031,0.3892729675545926,239,0
05_09__blitz,kind,37083,37077,6,247,99.98382007928161,0.6661811904954554,117,9
05_09__bullet,control,24369,24367,2,134,99.99179285157372,0.5499240776459966,52,0
05_09__bullet,kind,8123,8123,0,97,100.0,1.1941400960236366,0,0
05_09__classical_or_long,control,3105,3105,0,18,100.0,0.5797101449275363,0,0
05_09__classical_or_long,kind,1035,1035,0,11,100.0,1.0628019323671498,0,0
05_09__rapid,control,71655,71642,13,153,99.98185751168795,0.21356187711119176,299,0
05_09__rapid,kind,23885,23880,5,93,99.97906635963994,0.38944723618090454,96,8
101_plus__blitz,control,1146,1146,0,7,100.0,0.6108202443280978,0,0
101_plus__blitz,kind,382,382,0,1,100.0,0.2617801047120419,0,0
101_plus__bullet,control,51,51,0,0,100.0,0.0,0,0
101_plus__bullet,kind,17,17,0,0,100.0,0.0,0,0
101_plus__classical_or_long,control,51,51,0,0,100.0,0.0,0,0
101_plus__classical_or_long,kind,17,17,0,1,100.0,5.882352941176471,0,0
101_plus__rapid,control,579,579,0,5,100.0,0.8635578583765112,0,0
101_plus__rapid,kind,193,193,0,2,100.0,1.0362694300518134,0,0
10_20__blitz,control,110727,110715,12,527,99.98916253488309,0.47599692905207064,447,0
10_20__blitz,kind,36909,36906,3,299,99.99187190116233,0.8101663686121497,106,3
10_20__bullet,control,18777,18773,4,153,99.97869734249348,0.8150002663399564,176,0
10_20__bullet,kind,6259,6258,1,74,99.9840230068701,1.1824864173857463,44,1
10_20__classical_or_long,control,2103,2103,0,15,100.0,0.7132667617689016,0,0
10_20__classical_or_long,kind,701,701,0,17,100.0,2.425106990014265,0,0
10_20__rapid,control,55638,55626,12,168,99.97843200690177,0.3020170423902492,359,0
10_20__rapid,kind,18546,18542,4,108,99.97843200690177,0.5824614388954805,172,18
21_50__blitz,control,68829,68821,8,374,99.98837699225616,0.5434387759550138,580,0
21_50__blitz,kind,22943,22941,2,184,99.99128274419213,0.8020574517239876,239,5
21_50__bullet,control,7287,7286,1,61,99.98627693152189,0.8372220697227559,65,0
21_50__bullet,kind,2429,2429,0,29,100.0,1.1939069575957184,0,0
21_50__classical_or_long,control,1119,1119,0,9,100.0,0.8042895442359249,0,0
21_50__classical_or_long,kind,373,373,0,5,100.0,1.3404825737265416,0,0
21_50__rapid,control,28428,28425,3,106,99.98944702406078,0.3729111697449428,309,0
21_50__rapid,kind,9476,9474,2,60,99.97889404812157,0.6333122229259025,166,2
51_100__blitz,control,10725,10722,3,64,99.97202797202797,0.5969035627681403,478,0
51_100__blitz,kind,3575,3575,0,26,100.0,0.7272727272727273,0,0
51_100__bullet,control,726,726,0,5,100.0,0.6887052341597796,0,0
51_100__bullet,kind,242,242,0,1,100.0,0.4132231404958678,0,0
51_100__classical_or_long,control,243,243,0,3,100.0,1.2345679012345678,0,0
51_100__classical_or_long,kind,81,81,0,2,100.0,2.4691358024691357,0,0
51_100__rapid,control,4332,4332,0,26,100.0,0.6001846722068329,0,0
51_100__rapid,kind,1444,1444,0,7,100.0,0.48476454293628807,0,0
