analysis,path,horizon_days_each_side,minimum_opportunities_each_side,mean,standard_error,t_value,p_value_two_sided,rows,clusters,weight_sum,mean_change_percentage_points,standard_error_percentage_points,weighted_pre_kind_rate,weighted_post_kind_rate,pre_opportunities,post_opportunities,pre_kind_draws,post_kind_draws,causal_claim,primary_family_reopened
A2_secondary_arm_path,any_first_qualifying_disconnection,30,1,-0.004383517970905993,0.0004278478325567736,-10.2455070175547,1.2397316977406765e-24,182970,163214,182970.0,-0.4383517970905993,0.04278478325567736,0.03508820018521781,0.030704682214311822,342800,416051,11063,11525,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,30,1,-0.0003373152918008119,0.0014258395998354033,-0.236573098292228,0.8129879922702722,182528,162864,10794.802196675842,-0.03373152918008119,0.14258395998354031,0.03730568777319793,0.03696837248139712,341932,414936,11026,11494,False,False
A2_secondary_arm_path,mercy_received,30,1,0.004225065183494394,0.00282129584584628,1.4975619057160727,0.1342471103766122,5385,5262,5385.0,0.4225065183494394,0.282129584584628,0.039242986972791986,0.04346805215628639,10238,12614,382,466,False,False
A2_secondary_arm_path,claimed_against,30,1,-0.004878778725447467,0.00045201735222814794,-10.793343886906776,3.700741775216503e-27,177143,158119,5409.802196675842,-0.48787787254474674,0.045201735222814794,0.03537727046503382,0.03049849173958635,331694,402322,10644,11028,False,False
A2_secondary_arm_path,any_first_qualifying_disconnection,30,4,-0.0038884896172435785,0.0011065753252089148,-3.5139854727100976,0.0004414369540729012,6491,6433,6491.0,-0.38884896172435784,0.11065753252089147,0.023714558655448467,0.019826069038204892,37057,40098,885,766,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,30,4,-0.006565469611260876,0.0035096014622743896,-1.8707165704809507,0.06138437678429419,6476,6419,413.4890120770268,-0.6565469611260876,0.35096014622743893,0.028780035550776756,0.022214565939515884,36955,39974,882,765,False,False
A2_secondary_arm_path,mercy_received,30,4,-0.009509643071286909,0.006550311130522149,-1.4517849430045104,0.14656141183110155,219,218,219.0,-0.9509643071286908,0.655031113052215,0.03341339026270533,0.023903747191418426,1255,1300,46,32,False,False
A2_secondary_arm_path,claimed_against,30,4,-0.003250248967894454,0.0012090636552025329,-2.6882364331346955,0.007183051668194724,6257,6203,194.4890120770268,-0.3250248967894454,0.12090636552025329,0.023562750157242622,0.020312501189348166,35700,38674,836,733,False,False
A2_secondary_arm_path,any_first_qualifying_disconnection,60,1,-0.004564580982696918,0.0003523576568632822,-12.954397027529373,2.2187258999897023e-38,259414,223176,259414.0,-0.4564580982696918,0.03523576568632822,0.036249728768896615,0.0316851477861997,565107,761833,18569,20914,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,60,1,-0.0019400476325298517,0.0011434080060495552,-1.6967238485872296,0.08974888169156232,258829,222731,15211.011302072515,-0.19400476325298516,0.11434080060495552,0.038955428055884776,0.03701538042335493,563745,759948,18514,20860,False,False
A2_secondary_arm_path,mercy_received,60,1,0.0010721595134578546,0.002268008689383292,0.47273166036651826,0.6364046357621997,7564,7330,7564.0,0.10721595134578546,0.22680086893832918,0.04149205757812315,0.042564217091581,16727,22867,607,790,False,False
A2_secondary_arm_path,claimed_against,60,1,-0.004919556090438884,0.00037193381960962693,-13.226966280190211,6.1312574738543146e-40,251265,216317,7647.011302072513,-0.4919556090438884,0.037193381960962696,0.036446334640394346,0.03152677854995547,547018,737081,17907,20070,False,False
A2_secondary_arm_path,any_first_qualifying_disconnection,60,4,-0.00410855604860327,0.0006822349078363352,-6.0222014461753295,1.720605552909057e-09,17911,17658,17911.0,-0.410855604860327,0.06822349078363352,0.025665885761213095,0.021557329712609822,109613,125588,2729,2529,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,60,4,-0.005070504226036045,0.0019213897328104696,-2.6389774752357393,0.008315650587620342,17872,17620,1098.3078252059324,-0.5070504226036044,0.19213897328104695,0.02482820682244529,0.019757702596409243,109327,125255,2714,2527,False,False
A2_secondary_arm_path,mercy_received,60,4,-0.00621712583274986,0.0036606538631821285,-1.6983648454938716,0.08943892280662713,567,566,567.0,-0.621712583274986,0.36606538631821284,0.023898216226258553,0.017681090393508694,3474,3962,86,66,False,False
A2_secondary_arm_path,claimed_against,60,4,-0.0038468549211255762,0.0007332845359266149,-5.246060338998556,1.5538603094559578e-07,17305,17060,531.3078252059323,-0.38468549211255765,0.07332845359266149,0.025820672287890856,0.02197381736676528,105853,121293,2628,2461,False,False
A2_secondary_arm_path,any_first_qualifying_disconnection,90,1,-0.004563681065531672,0.0003212752200289676,-14.204895930411908,8.542947392072494e-46,304708,256971,304708.0,-0.45636810655316723,0.03212752200289676,0.03682186767597344,0.03225818661044176,733768,1052247,24155,28879,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,90,1,-0.0021633051591740146,0.0010227613204810185,-2.1151612950679275,0.034416202509179754,304017,256457,17861.02038401262,-0.21633051591740146,0.10227613204810185,0.03948697192363707,0.03732366676446307,731985,1049662,24088,28817,False,False
A2_secondary_arm_path,mercy_received,90,1,0.0005974330049338303,0.0020240229261366378,0.2951710661075283,0.76786320370593,8899,8587,8899.0,0.059743300493383035,0.20240229261366377,0.0420176452052142,0.042615078210148025,21708,31613,795,1064,False,False
A2_secondary_arm_path,claimed_against,90,1,-0.004904629979883227,0.00033877662481987173,-14.477474596988591,1.6816294880032311e-47,295118,249097,8962.02038401262,-0.4904629979883227,0.033877662481987175,0.03697409418315245,0.03206946420326923,710277,1018049,23293,27753,False,False
A2_secondary_arm_path,any_first_qualifying_disconnection,90,4,-0.0031520495921725285,0.0005272734523318034,-5.978016868160095,2.258703513243801e-09,29504,28898,29504.0,-0.31520495921725283,0.05272734523318034,0.026048975531580254,0.022896925939407727,191032,225706,4724,4814,False,False
A2_secondary_arm_path,arm_eligible_common_support_pooled,90,4,-0.0028115147156278397,0.001633029739889262,-1.7216555503872772,0.08513193383139091,29440,28839,1769.9102681346324,-0.28115147156278397,0.1633029739889262,0.027065917416270378,0.02425440270064254,190547,225153,4709,4811,False,False
A2_secondary_arm_path,mercy_received,90,4,-0.0024927370322752884,0.0031701703688550046,-0.7863101165681546,0.43168582710106884,899,895,899.0,-0.24927370322752884,0.3170170368855005,0.02777727554276661,0.02528453851049132,5828,6967,147,155,False,False
A2_secondary_arm_path,claimed_against,90,4,-0.0031405740318622907,0.0005627006755459849,-5.581251575386881,2.387939464849693e-08,28541,27960,870.9102681346322,-0.3140574031862291,0.05627006755459849,0.026331615641312717,0.023191041609450427,184719,218186,4562,4656,False,False
